Function Stack	CPU Time:Total	CPU Time:Effective Time:Total	CPU Time:Spin Time:Total	CPU Time:Overhead Time:Total	CPU Time:Self	CPU Time:Effective Time:Self	CPU Time:Spin Time:Self	CPU Time:Overhead Time:Self	Module	Function (Full)	Source File	Start Address
Total	100.000000	100.000000			0.0	0.0	0.0	0.0	[Unknown]	[Unknown]	[Unknown]	[Unknown]
 __clone3	82.926829	82.926829			0.0	0.0	0.0	0.0	libc.so.6	__clone3	clone3.S	0x129c40
  start_thread	82.926829	82.926829			0.0	0.0	0.0	0.0	libc.so.6	start_thread	pthread_create.c	0x9c720
   frame_worker_thread	82.926829	82.926829			0.0	0.0	0.0	0.0	libavcodec.so.62	frame_worker_thread	pthread_frame.c	0x7f8fb0
    ff_decode_receive_frame_internal	82.926829	82.926829			0.0	0.0	0.0	0.0	libavcodec.so.62	ff_decode_receive_frame_internal	decode.c	0x2b95f0
     decode_simple_receive_frame	82.926829	82.926829			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_simple_receive_frame	decode.c	0x2b96c0
      decode_simple_internal	82.926829	82.926829			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_simple_internal	decode.c	0x2b96c0
       h264_decode_frame	82.926829	82.926829			0.0	0.0	0.0	0.0	libavcodec.so.62	h264_decode_frame	h264dec.c	0x419290
        decode_nal_units	73.170732	73.170732			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_nal_units	h264dec.c	0x419387
         ff_h264_execute_decode_slices	70.731707	70.731707			0.0	0.0	0.0	0.0	libavcodec.so.62	ff_h264_execute_decode_slices	h264_slice.c	0x40e380
          decode_slice	70.731707	70.731707			0.004499	0.004499	0.0	0.0	libavcodec.so.62	decode_slice	h264_slice.c	0x40cec0
           ff_h264_decode_mb_cabac	69.634457	69.634457			0.075501	0.075501	0.0	0.0	libavcodec.so.62	ff_h264_decode_mb_cabac	h264_cabac.c	0x3c8330
            decode_cabac_luma_residual_skip	14.634146	14.634146			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_cabac_luma_residual_skip	h264_cabac.c	0x3c909b
             decode_cabac_residual_nondc_skip	9.756098	9.756098			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_cabac_residual_nondc_skip	h264_cabac.c	0x3cbf98
              decode_cabac_residual_nondc_internal_skip	7.317073	7.317073			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_cabac_residual_nondc_internal_skip	h264_cabac.c	0x3c75d0
               decode_cabac_residual_internal_skip	7.317073	7.317073			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_cabac_residual_internal_skip	h264_cabac.c	0x3c75d4
                decode_significance_x86	7.317073	7.317073			0.030000	0.030000	0.0	0.0	libavcodec.so.62	decode_significance_x86	h264_cabac.c	0x3c50a0
              get_cabac	2.439024	2.439024			0.0	0.0	0.0	0.0	libavcodec.so.62	get_cabac	cabac_functions.h	0x3c3560
               get_cabac_inline_x86	2.439024	2.439024			0.010000	0.010000	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c3560
             decode_cabac_residual_dc_skip	4.878049	4.878049			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_cabac_residual_dc_skip	h264_cabac.c	0x3c90ba
              decode_cabac_residual_dc_internal_skip	2.439024	2.439024			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_cabac_residual_dc_internal_skip	h264_cabac.c	0x3c7240
