Function	CPU Time	CPU Time:Effective Time	CPU Time:Spin Time	CPU Time:Overhead Time	Module	Function (Full)	Source File	Start Address
decode_significance_8x8_skip_x86	0.127445	0.127445	0.0	0.0	libavcodec.so.62	decode_significance_8x8_skip_x86	h264_cabac.c	0x3c7793
get_cabac_inline_x86	0.110396	0.110396	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c3580
decode_significance_skip_x86	0.097893	0.097893	0.0	0.0	libavcodec.so.62	decode_significance_skip_x86	h264_cabac.c	0x3c5280
get_cabac_inline_x86	0.089284	0.089284	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c34e0
fill_decode_caches	0.068101	0.068101	0.0	0.0	libavcodec.so.62	fill_decode_caches	h264_mvpred.h	0x3c3850
ff_h264_decode_mb_cabac	0.042518	0.042518	0.0	0.0	libavcodec.so.62	ff_h264_decode_mb_cabac	h264_cabac.c	0x3c9660
get_cabac_inline_x86	0.038438	0.038438	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c6afe
write_back_motion_list	0.034073	0.034073	0.0	0.0	libavcodec.so.62	write_back_motion_list	h264_mvpred.h	0x3cade8
get_cabac_inline_x86	0.029797	0.029797	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c7540
pred_spatial_direct_motion	0.029712	0.029712	0.0	0.0	libavcodec.so.62	pred_spatial_direct_motion	h264_direct.c	0x3d727b
fill_decode_neighbors	0.025549	0.025549	0.0	0.0	libavcodec.so.62	fill_decode_neighbors	h264_mvpred.h	0x3c3620
add_mb	0.025502	0.025502	0.0	0.0	libavcodec.so.62	add_mb	mpegutils.c	0x73390b
get_cabac_cbf_ctx	0.021279	0.021279	0.0	0.0	libavcodec.so.62	get_cabac_cbf_ctx	h264_cabac.c	0x3c9390
decode_cabac_mb_mvd	0.017130	0.017130	0.0	0.0	libavcodec.so.62	decode_cabac_mb_mvd	h264_cabac.c	0x3c7980
decode_cabac_residual_internal_skip	0.017073	0.017073	0.0	0.0	libavcodec.so.62	decode_cabac_residual_internal_skip	h264_cabac.c	0x3c7402
decode_cabac_luma_residual_skip	0.017046	0.017046	0.0	0.0	libavcodec.so.62	decode_cabac_luma_residual_skip	h264_cabac.c	0x3c9070
