Function Stack	CPU Time:Total	CPU Time:Effective Time:Total	CPU Time:Spin Time:Total	CPU Time:Overhead Time:Total	CPU Time:Self	CPU Time:Effective Time:Self	CPU Time:Spin Time:Self	CPU Time:Overhead Time:Self	Module	Function (Full)	Source File	Start Address
Total	100.000000	100.000000			0.0	0.0	0.0	0.0	[Unknown]	[Unknown]	[Unknown]	[Unknown]
 _start	100.000000	100.000000			0.0	0.0	0.0	0.0	extractor4	_start	[Unknown]	0x2c50
  __libc_start_main_impl	100.000000	100.000000			0.0	0.0	0.0	0.0	libc.so.6	__libc_start_main_impl	libc-start.c	0x2a200
   main	100.000000	100.000000			0.0	0.0	0.0	0.0	extractor4	main	[Unknown]	0x25f0
    avcodec_send_packet	96.191271	96.191271			0.0	0.0	0.0	0.0	libavcodec.so.62	avcodec_send_packet	decode.c	0x2b9e90
     decode_receive_frame_internal	96.191271	96.191271			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_receive_frame_internal	decode.c	0x2b9b20
      ff_decode_receive_frame_internal	96.191271	96.191271			0.0	0.0	0.0	0.0	libavcodec.so.62	ff_decode_receive_frame_internal	decode.c	0x2b95f0
       decode_simple_receive_frame	96.191271	96.191271			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_simple_receive_frame	decode.c	0x2b96c0
        decode_simple_internal	96.191271	96.191271			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_simple_internal	decode.c	0x2b96c0
         h264_decode_frame	96.191271	96.191271			0.0	0.0	0.0	0.0	libavcodec.so.62	h264_decode_frame	h264dec.c	0x419ec0
          decode_nal_units	91.429513	91.429513			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_nal_units	h264dec.c	0x419fb7
           ff_h264_execute_decode_slices	91.429513	91.429513			0.0	0.0	0.0	0.0	libavcodec.so.62	ff_h264_execute_decode_slices	h264_slice.c	0x410680
            decode_slice	91.429513	91.429513			0.007982	0.007982	0.0	0.0	libavcodec.so.62	decode_slice	h264_slice.c	0x40efc0
             ff_h264_decode_mb_cabac	90.479280	90.479280			0.019960	0.019960	0.0	0.0	libavcodec.so.62	ff_h264_decode_mb_cabac	h264_cabac.c	0x3c9660
              decode_cabac_luma_residual_skip	40.483483	40.483483			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_cabac_luma_residual_skip	h264_cabac.c	0x3c9070
               decode_cabac_residual_nondc_skip	22.843234	22.843234			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_cabac_residual_nondc_skip	h264_cabac.c	0x3c9220
                decode_cabac_residual_nondc_internal_skip	22.843234	22.843234			0.012037	0.012037	0.0	0.0	libavcodec.so.62	decode_cabac_residual_nondc_internal_skip	h264_cabac.c	0x3c7400
                 decode_cabac_residual_internal_skip	21.410214	21.410214			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_cabac_residual_internal_skip	h264_cabac.c	0x3c7402
                  decode_significance_8x8_skip_x86	20.456049	20.456049			0.171829	0.171829	0.0	0.0	libavcodec.so.62	decode_significance_8x8_skip_x86	h264_cabac.c	0x3c7793
                  get_cabac_bypass_x86	0.954165	0.954165			0.008015	0.008015	0.0	0.0	libavcodec.so.62	get_cabac_bypass_x86	cabac.h	0x3c7720
               decode_cabac_residual_nondc_skip	17.640249	17.640249			0.012001	0.012001	0.0	0.0	libavcodec.so.62	decode_cabac_residual_nondc_skip	h264_cabac.c	0x3c9390
                decode_cabac_residual_nondc_internal_skip	12.388359	12.388359			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_cabac_residual_nondc_internal_skip	h264_cabac.c	0x3c7400
                 decode_cabac_residual_internal_skip	12.388359	12.388359			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_cabac_residual_internal_skip	h264_cabac.c	0x3c7402
                  decode_significance_skip_x86	10.960170	10.960170			0.092064	0.092064	0.0	0.0	libavcodec.so.62	decode_significance_skip_x86	h264_cabac.c	0x3c5280
                  get_cabac	1.428189	1.428189			0.0	0.0	0.0	0.0	libavcodec.so.62	get_cabac	cabac_functions.h	0x3c3580
                   get_cabac_inline_x86	1.428189	1.428189			0.011997	0.011997	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c3580
                get_cabac	2.872508	2.872508			0.0	0.0	0.0	0.0	libavcodec.so.62	get_cabac	cabac_functions.h	0x3c3580
                 get_cabac_inline_x86	2.872508	2.872508			0.024129	0.024129	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c3580
                get_cabac_cbf_ctx	0.950654	0.950654			0.007985	0.007985	0.0	0.0	libavcodec.so.62	get_cabac_cbf_ctx	h264_cabac.c	0x3c9390
              decode_mb_skip	10.943194	10.943194			0.012110	0.012110	0.0	0.0	libavcodec.so.62	decode_mb_skip	h264_mvpred.h	0x3c9e57
               fill_decode_caches	3.319754	3.319754			0.027886	0.027886	0.0	0.0	libavcodec.so.62	fill_decode_caches	h264_mvpred.h	0x3c3850
               ff_h264_pred_direct_motion	2.378655	2.378655			0.0	0.0	0.0	0.0	libavcodec.so.62	ff_h264_pred_direct_motion	h264_direct.c	0x3d7260
                pred_spatial_direct_motion	2.378655	2.378655			0.019981	0.019981	0.0	0.0	libavcodec.so.62	pred_spatial_direct_motion	h264_direct.c	0x3d727b
               write_back_motion	2.374377	2.374377			0.0	0.0	0.0	0.0	libavcodec.so.62	write_back_motion	h264_mvpred.h	0x3c9ef6
                write_back_motion_list	2.374377	2.374377			0.012016	0.012016	0.0	0.0	libavcodec.so.62	write_back_motion_list	h264_mvpred.h	0x3c9f26
                 AV_COPY128	0.943937	0.943937			0.0	0.0	0.0	0.0	libavcodec.so.62	AV_COPY128	intreadwrite.h	0x3c9f7e
                  _mm_store_si128	0.943937	0.943937			0.007929	0.007929	0.0	0.0	libavcodec.so.62	_mm_store_si128	emmintrin.h	0x3c9f7e
               pred_pskip_motion	1.428726	1.428726			0.012001	0.012001	0.0	0.0	libavcodec.so.62	pred_pskip_motion	h264_mvpred.h	0x3ca5ee
              decode_cabac_mb_mvd	6.215293	6.215293			0.032184	0.032184	0.0	0.0	libavcodec.so.62	decode_cabac_mb_mvd	h264_cabac.c	0x3c7980
               get_cabac	1.430967	1.430967			0.0	0.0	0.0	0.0	libavcodec.so.62	get_cabac	cabac_functions.h	0x3c79d0
                get_cabac_inline_x86	1.430967	1.430967			0.012020	0.012020	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c79d0
               get_cabac	0.952839	0.952839			0.0	0.0	0.0	0.0	libavcodec.so.62	get_cabac	cabac_functions.h	0x3c3580
                get_cabac_inline_x86	0.952839	0.952839			0.008004	0.008004	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c3580
              get_cabac_noinline	4.762084	4.762084			0.0	0.0	0.0	0.0	libavcodec.so.62	get_cabac_noinline	cabac_functions.h	0x3c34e0
               get_cabac_inline_x86	4.762084	4.762084			0.040001	0.040001	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c34e0
              write_back_motion	2.863191	2.863191			0.012031	0.012031	0.0	0.0	libavcodec.so.62	write_back_motion	h264_mvpred.h	0x3c9b50
               write_back_motion_list	1.430888	1.430888			0.012019	0.012019	0.0	0.0	libavcodec.so.62	write_back_motion_list	h264_mvpred.h	0x3c9bac
              decode_cabac_mb_cbp_chroma	2.861918	2.861918			0.012047	0.012047	0.0	0.0	libavcodec.so.62	decode_cabac_mb_cbp_chroma	h264_cabac.c	0x3cad12
               get_cabac_noinline	1.427741	1.427741			0.0	0.0	0.0	0.0	libavcodec.so.62	get_cabac_noinline	cabac_functions.h	0x3c34e0
                get_cabac_inline_x86	1.427741	1.427741			0.011993	0.011993	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c34e0
              decode_cabac_residual_nondc_internal_skip	2.384367	2.384367			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_cabac_residual_nondc_internal_skip	h264_cabac.c	0x3c7400
               decode_cabac_residual_internal_skip	2.384367	2.384367			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_cabac_residual_internal_skip	h264_cabac.c	0x3c7402
                decode_significance_skip_x86	2.384367	2.384367			0.020028	0.020028	0.0	0.0	libavcodec.so.62	decode_significance_skip_x86	h264_cabac.c	0x3c5280
              fill_decode_caches	2.380663	2.380663			0.019997	0.019997	0.0	0.0	libavcodec.so.62	fill_decode_caches	h264_mvpred.h	0x3c3850
