Function	CPU Time	CPU Time:Effective Time	CPU Time:Spin Time	CPU Time:Overhead Time	Module	Function (Full)	Source File	Start Address
decode_significance_skip_x86	0.111592	0.111592	0.0	0.0	libavcodec.so.62	decode_significance_skip_x86	h264_cabac.c	0x3ae330
get_cabac_inline_x86	0.092412	0.092412	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3ac590
decode_significance_8x8_skip_x86	0.088588	0.088588	0.0	0.0	libavcodec.so.62	decode_significance_8x8_skip_x86	h264_cabac.c	0x3b0843
get_cabac_inline_x86	0.053942	0.053942	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3ac630
fill_decode_caches	0.034656	0.034656	0.0	0.0	libavcodec.so.62	fill_decode_caches	h264_mvpred.h	0x3ac900
decode_cabac_mb_mvd	0.030788	0.030788	0.0	0.0	libavcodec.so.62	decode_cabac_mb_mvd	h264_cabac.c	0x3b0a30
decode_cabac_mb_ref	0.023069	0.023069	0.0	0.0	libavcodec.so.62	decode_cabac_mb_ref	h264_cabac.c	0x3afb30
decode_cabac_residual_internal	0.020201	0.020201	0.0	0.0	libavcodec.so.62	decode_cabac_residual_internal	h264_cabac.c	0x3af362
write_back_non_zero_count	0.019263	0.019263	0.0	0.0	libavcodec.so.62	write_back_non_zero_count	h264_mvpred.h	0x3b35b5
decode_cabac_luma_residual_skip	0.015411	0.015411	0.0	0.0	libavcodec.so.62	decode_cabac_luma_residual_skip	h264_cabac.c	0x3b2120
get_cabac_inline_x86	0.015408	0.015408	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3b0a80
get_cabac_inline_x86	0.011561	0.011561	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3b1ff9
av_dict_set	0.011557	0.011557	0.0	0.0	libavutil.so.60	av_dict_set	dict.c	0x2dce0
get_cabac_terminate	0.011556	0.011556	0.0	0.0	libavcodec.so.62	get_cabac_terminate	cabac_functions.h	0x3f838c
decode_cabac_residual_dc_skip	0.011554	0.011554	0.0	0.0	libavcodec.so.62	decode_cabac_residual_dc_skip	h264_cabac.c	0x3b1ce0
decode_cabac_residual_nondc_skip	0.011553	0.011553	0.0	0.0	libavcodec.so.62	decode_cabac_residual_nondc_skip	h264_cabac.c	0x3b1fa0
decode_cabac_residual_internal_skip	0.011539	0.011539	0.0	0.0	libavcodec.so.62	decode_cabac_residual_internal_skip	h264_cabac.c	0x3b04b2
ff_print_debug_info2_optimized	0.007713	0.007713	0.0	0.0	libavcodec.so.62	ff_print_debug_info2_optimized	mpegutils.c	0x71be70
func@0x189480	0.007626	0.007626	0.0	0.0	libc.so.6	func@0x189480	[Unknown]	0x189480
