Function	CPU Time	CPU Time:Effective Time	CPU Time:Spin Time	CPU Time:Overhead Time	Module	Function (Full)	Source File	Start Address
decode_significance_8x8_x86	0.192794	0.192794	0.0	0.0	libavcodec.so.62	decode_significance_8x8_x86	h264_cabac.c	0x3c5eb8
get_cabac_inline_x86	0.121373	0.121373	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c32e0
decode_significance_x86	0.119857	0.119857	0.0	0.0	libavcodec.so.62	decode_significance_x86	h264_cabac.c	0x3c4ec0
..@3383.end	0.107131	0.107131	0.0	0.0	libavcodec.so.62	..@3383.end	[Unknown]	0xc6b1f0
get_cabac_inline_x86	0.090015	0.090015	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c3380
fill_decode_caches	0.089966	0.089966	0.0	0.0	libavcodec.so.62	fill_decode_caches	h264_mvpred.h	0x3c3650
ff_h264_decode_mb_cabac	0.072707	0.072707	0.0	0.0	libavcodec.so.62	ff_h264_decode_mb_cabac	h264_cabac.c	0x3c6df0
..@3110.end	0.068707	0.068707	0.0	0.0	libavcodec.so.62	..@3110.end	x86inc.asm	0xc842b0
..@5412.end	0.068632	0.068632	0.0	0.0	libavcodec.so.62	..@5412.end	x86inc.asm	0xc84f70
..@7224.end	0.068620	0.068620	0.0	0.0	libavcodec.so.62	..@7224.end	x86inc.asm	0xc85910
..@3309.end	0.068597	0.068597	0.0	0.0	libavcodec.so.62	..@3309.end	x86inc.asm	0xc6cfc0
..@8895.end	0.060095	0.060095	0.0	0.0	libavcodec.so.62	..@8895.end	x86inc.asm	0xc6edc0
ff_put_h264_qpel8or16_hv2_lowpass_ssse3.op16	0.051370	0.051370	0.0	0.0	libavcodec.so.62	ff_put_h264_qpel8or16_hv2_lowpass_ssse3.op16	x86inc.asm	0xc85537
..@2921.end	0.051334	0.051334	0.0	0.0	libavcodec.so.62	..@2921.end	x86inc.asm	0xc6ce00
pred_spatial_direct_motion	0.047226	0.047226	0.0	0.0	libavcodec.so.62	pred_spatial_direct_motion	h264_direct.c	0x3d503b
ff_print_debug_info2	0.047102	0.047102	0.0	0.0	libavcodec.so.62	ff_print_debug_info2	mpegutils.c	0x72f450
..@5785.branch_instr	0.042751	0.042751	0.0	0.0	libavcodec.so.62	..@5785.branch_instr	x86inc.asm	0xc851ab
fill_filter_caches_inter	0.038756	0.038756	0.0	0.0	libavcodec.so.62	fill_filter_caches_inter	h264_slice.c	0x409815
..@7058.end	0.034330	0.034330	0.0	0.0	libavcodec.so.62	..@7058.end	videodsp.asm	0xd1a1b0
loop_filter	0.034282	0.034282	0.0	0.0	libavcodec.so.62	loop_filter	h264_slice.c	0x408a70
..@3929.end	0.034257	0.034257	0.0	0.0	libavcodec.so.62	..@3929.end	[Unknown]	0xc6b5f0
mc_dir_part	0.029923	0.029923	0.0	0.0	libavcodec.so.62	mc_dir_part	h264_mb.c	0x3e493d
..@1474.end	0.025761	0.025761	0.0	0.0	libavcodec.so.62	..@1474.end	x86inc.asm	0xc83b00
fill_decode_neighbors	0.025718	0.025718	0.0	0.0	libavcodec.so.62	fill_decode_neighbors	h264_mvpred.h	0x3c3420
..@10971.branch_instr	0.025703	0.025703	0.0	0.0	libavcodec.so.62	..@10971.branch_instr	x86inc.asm	0xc6f9d0
ff_h264_weight_16_sse2.nextrow	0.021453	0.021453	0.0	0.0	libavcodec.so.62	ff_h264_weight_16_sse2.nextrow	x86inc.asm	0xc85b83
_mm_load_si128	0.021450	0.021450	0.0	0.0	libavcodec.so.62	_mm_load_si128	emmintrin.h	0x408f0d
h264_filter_mb_fast_internal	0.021448	0.021448	0.0	0.0	libavcodec.so.62	h264_filter_mb_fast_internal	h264_loopfilter.c	0x3ddbc0
decode_mb_skip	0.021447	0.021447	0.0	0.0	libavcodec.so.62	decode_mb_skip	h264_mvpred.h	0x3c75b5
get_cabac_inline_x86	0.021443	0.021443	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c6870
..@4065.end	0.021421	0.021421	0.0	0.0	libavcodec.so.62	..@4065.end	[Unknown]	0xc6b690
ff_put_pixels16_sse2.loop	0.021415	0.021415	0.0	0.0	libavcodec.so.62	ff_put_pixels16_sse2.loop	x86inc.asm	0xc69f64
decode_cabac_mb_mvd	0.017203	0.017203	0.0	0.0	libavcodec.so.62	decode_cabac_mb_mvd	h264_cabac.c	0x3c6820
h264_filter_mb_fast_internal	0.017170	0.017170	0.0	0.0	libavcodec.so.62	h264_filter_mb_fast_internal	h264_loopfilter.c	0x3ddff0
ff_put_pixels16_l2_mmxext.loop	0.017158	0.017158	0.0	0.0	libavcodec.so.62	ff_put_pixels16_l2_mmxext.loop	x86inc.asm	0xd00061
add_mb	0.017139	0.017139	0.0	0.0	libavcodec.so.62	add_mb	mpegutils.c	0x72f65f
..@11165.branch_instr	0.017131	0.017131	0.0	0.0	libavcodec.so.62	..@11165.branch_instr	x86inc.asm	0xc6fbd1
get_cabac_inline_x86	0.017122	0.017122	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c671e
..@8673.end	0.017113	0.017113	0.0	0.0	libavcodec.so.62	..@8673.end	x86inc.asm	0xc6ecc0
mc_part_weighted	0.017096	0.017096	0.0	0.0	libavcodec.so.62	mc_part_weighted	h264_mb.c	0x3e4b10
decode_cabac_mb_skip	0.017083	0.017083	0.0	0.0	libavcodec.so.62	decode_cabac_mb_skip	h264_cabac.c	0x3c51f0
pred_motion	0.012892	0.012892	0.0	0.0	libavcodec.so.62	pred_motion	h264_mvpred.h	0x3c878d
pred_motion	0.012881	0.012881	0.0	0.0	libavcodec.so.62	pred_motion	h264_mvpred.h	0x3c9c8a
hl_decode_mb_simple_8	0.012873	0.012873	0.0	0.0	libavcodec.so.62	hl_decode_mb_simple_8	h264_mb_template.c	0x3f6c20
av_buffer_ref	0.012873	0.012873	0.0	0.0	libavutil.so.60	av_buffer_ref	buffer.c	0x268e0
..@5039.end	0.012861	0.012861	0.0	0.0	libavcodec.so.62	..@5039.end	x86inc.asm	0xc77370
..@3534.branch_instr	0.012859	0.012859	0.0	0.0	libavcodec.so.62	..@3534.branch_instr	x86inc.asm	0xc8453f
ff_h264_hl_decode_mb	0.012853	0.012853	0.0	0.0	libavcodec.so.62	ff_h264_hl_decode_mb	h264_mb.c	0x3fc2c0
decode_nal_units	0.012852	0.012852	0.0	0.0	libavcodec.so.62	decode_nal_units	h264dec.c	0x417857
put_h264_qpel16_mc21_ssse3	0.012851	0.012851	0.0	0.0	libavcodec.so.62	put_h264_qpel16_mc21_ssse3	h264_qpel.c	0xc7c820
filter_mb_edgecv	0.012847	0.012847	0.0	0.0	libavcodec.so.62	filter_mb_edgecv	h264_loopfilter.c	0x3de2ad
ff_pred8x8l_dc_8_ssse3.do_left	0.012844	0.012844	0.0	0.0	libavcodec.so.62	ff_pred8x8l_dc_8_ssse3.do_left	x86inc.asm	0xc7716f
ff_put_h264_qpel16_v_lowpass_sse2	0.008611	0.008611	0.0	0.0	libavcodec.so.62	ff_put_h264_qpel16_v_lowpass_sse2	h264_qpel.c	0xc7bda6
ff_h264_loop_filter_strength_mmxext.nofield	0.008608	0.008608	0.0	0.0	libavcodec.so.62	ff_h264_loop_filter_strength_mmxext.nofield	x86inc.asm	0xc6f88b
put_h264_qpel16_mc03_sse2	0.008603	0.008603	0.0	0.0	libavcodec.so.62	put_h264_qpel16_mc03_sse2	h264_qpel.c	0xc7f7a0
..@10898.branch_instr	0.008596	0.008596	0.0	0.0	libavcodec.so.62	..@10898.branch_instr	x86inc.asm	0xc6f97e
..@10725.end	0.008594	0.008594	0.0	0.0	libavcodec.so.62	..@10725.end	x86inc.asm	0xc6f860
prefetch_motion	0.008584	0.008584	0.0	0.0	libavcodec.so.62	prefetch_motion	h264_mb.c	0x3f70db
pred_motion	0.008584	0.008584	0.0	0.0	libavcodec.so.62	pred_motion	h264_mvpred.h	0x3caac0
get_cabac_bypass_sign_x86	0.008584	0.008584	0.0	0.0	libavcodec.so.62	get_cabac_bypass_sign_x86	cabac.h	0x3c6a2e
mc_dir_part	0.008581	0.008581	0.0	0.0	libavcodec.so.62	mc_dir_part	h264_mb.c	0x3e4c47
get_chroma_qp	0.008580	0.008580	0.0	0.0	libavcodec.so.62	get_chroma_qp	h264dec.h	0x3c750c
decode_cabac_residual_nondc_internal	0.008579	0.008579	0.0	0.0	libavcodec.so.62	decode_cabac_residual_nondc_internal	h264_cabac.c	0x3c5900
__posix_memalign	0.008579	0.008579	0.0	0.0	libc.so.6	__posix_memalign	malloc.c	0xaf450
decode_cabac_mb_cbp_luma	0.008578	0.008578	0.0	0.0	libavcodec.so.62	decode_cabac_mb_cbp_luma	h264_cabac.c	0x3c81b0
write_back_motion_list	0.008576	0.008576	0.0	0.0	libavcodec.so.62	write_back_motion_list	h264_mvpred.h	0x3c730d
write_back_motion_list	0.008575	0.008575	0.0	0.0	libavcodec.so.62	write_back_motion_list	h264_mvpred.h	0x3c7740
..@1838.branch_instr	0.008573	0.008573	0.0	0.0	libavcodec.so.62	..@1838.branch_instr	h264_idct.asm	0xc723f0
__memmove_evex_unaligned_erms	0.008572	0.008572	0.0	0.0	libc.so.6	__memmove_evex_unaligned_erms	memmove-vec-unaligned-erms.S	0x198940
mc_dir_part	0.008569	0.008569	0.0	0.0	libavcodec.so.62	mc_dir_part	h264_mb.c	0x3e5763
..@11069.branch_instr	0.008568	0.008568	0.0	0.0	libavcodec.so.62	..@11069.branch_instr	x86inc.asm	0xc6fad7
decode_cabac_residual_internal	0.008568	0.008568	0.0	0.0	libavcodec.so.62	decode_cabac_residual_internal	h264_cabac.c	0x3c5902
..@2290.end	0.008567	0.008567	0.0	0.0	libavcodec.so.62	..@2290.end	x86inc.asm	0xc83ee0
hl_motion_422_simple_8	0.008564	0.008564	0.0	0.0	libavcodec.so.62	hl_motion_422_simple_8	h264_mc_template.c	0x3f7090
..@3929.end	0.008561	0.008561	0.0	0.0	libavcodec.so.62	..@3929.end	h264_chromamc.asm	0xc6b5f0
..@11068..skip_loop_iter	0.008561	0.008561	0.0	0.0	libavcodec.so.62	..@11068..skip_loop_iter	x86inc.asm	0xc6fb9f
get_cabac_bypass_sign_x86	0.008560	0.008560	0.0	0.0	libavcodec.so.62	get_cabac_bypass_sign_x86	cabac.h	0x3c5c25
hl_decode_mb_idct_luma	0.008558	0.008558	0.0	0.0	libavcodec.so.62	hl_decode_mb_idct_luma	h264_mb.c	0x3f743e
xchg_mb_border	0.008557	0.008557	0.0	0.0	libavcodec.so.62	xchg_mb_border	h264_mb.c	0x3f74fe
fill_rectangle	0.008550	0.008550	0.0	0.0	libavcodec.so.62	fill_rectangle	rectangle.h	0x3c8c74
fill_filter_caches_inter	0.008537	0.008537	0.0	0.0	libavcodec.so.62	fill_filter_caches_inter	h264_slice.c	0x408ea2
non_j_pixfmt	0.008537	0.008537	0.0	0.0	libavcodec.so.62	non_j_pixfmt	h264_slice.c	0x40a627
