Function Stack	CPU Time:Total	CPU Time:Effective Time:Total	CPU Time:Spin Time:Total	CPU Time:Overhead Time:Total	CPU Time:Self	CPU Time:Effective Time:Self	CPU Time:Spin Time:Self	CPU Time:Overhead Time:Self	Module	Function (Full)	Source File	Start Address
Total	100.000000	100.000000			0.0	0.0	0.0	0.0	[Unknown]	[Unknown]	[Unknown]	[Unknown]
 _start	100.000000	100.000000			0.0	0.0	0.0	0.0	extractor4	_start	[Unknown]	0x2c50
  __libc_start_main_impl	100.000000	100.000000			0.0	0.0	0.0	0.0	libc.so.6	__libc_start_main_impl	libc-start.c	0x2a200
   main	100.000000	100.000000			0.0	0.0	0.0	0.0	extractor4	main	[Unknown]	0x25f0
    avcodec_send_packet	96.037587	96.037587			0.0	0.0	0.0	0.0	libavcodec.so.62	avcodec_send_packet	decode.c	0x2b9cc0
     decode_receive_frame_internal	96.037587	96.037587			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_receive_frame_internal	decode.c	0x2b9970
      ff_decode_receive_frame_internal	96.037587	96.037587			0.0	0.0	0.0	0.0	libavcodec.so.62	ff_decode_receive_frame_internal	decode.c	0x2b9440
       decode_simple_receive_frame	96.037587	96.037587			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_simple_receive_frame	decode.c	0x2b9510
        decode_simple_internal	96.037587	96.037587			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_simple_internal	decode.c	0x2b9510
         h264_decode_frame	96.037587	96.037587			0.0	0.0	0.0	0.0	libavcodec.so.62	h264_decode_frame	h264dec.c	0x417760
          decode_nal_units	94.654300	94.654300			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_nal_units	h264dec.c	0x417857
           ff_h264_execute_decode_slices	92.869450	92.869450			0.007989	0.007989	0.0	0.0	libavcodec.so.62	ff_h264_execute_decode_slices	h264_slice.c	0x40c870
            decode_slice	92.473941	92.473941			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_slice	h264_slice.c	0x40b400
             ff_h264_decode_mb_cabac	48.313679	48.313679			0.047910	0.047910	0.0	0.0	libavcodec.so.62	ff_h264_decode_mb_cabac	h264_cabac.c	0x3c6df0
              decode_cabac_luma_residual	19.806159	19.806159			0.056097	0.056097	0.0	0.0	libavcodec.so.62	decode_cabac_luma_residual	h264_cabac.c	0x3c833f
               decode_cabac_residual_nondc	9.520797	9.520797			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_cabac_residual_nondc	h264_cabac.c	0x3c8b76
                decode_cabac_residual_nondc_internal	9.520797	9.520797			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_cabac_residual_nondc_internal	h264_cabac.c	0x3c5900
                 decode_cabac_residual_internal	9.520797	9.520797			0.032046	0.032046	0.0	0.0	libavcodec.so.62	decode_cabac_residual_internal	h264_cabac.c	0x3c5902
                  decode_significance_8x8_x86	6.352280	6.352280			0.128311	0.128311	0.0	0.0	libavcodec.so.62	decode_significance_8x8_x86	h264_cabac.c	0x3c5eb8
                  get_cabac	1.582047	1.582047			0.0	0.0	0.0	0.0	libavcodec.so.62	get_cabac	cabac_functions.h	0x3c3380
                   get_cabac_inline_x86	1.582047	1.582047			0.031956	0.031956	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c3380
               decode_cabac_residual_nondc	7.508165	7.508165			0.007988	0.007988	0.0	0.0	libavcodec.so.62	decode_cabac_residual_nondc	h264_cabac.c	0x3c9472
                decode_cabac_residual_nondc_internal	6.321063	6.321063			0.007991	0.007991	0.0	0.0	libavcodec.so.62	decode_cabac_residual_nondc_internal	h264_cabac.c	0x3c5900
                 decode_cabac_residual_internal	5.925473	5.925473			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_cabac_residual_internal	h264_cabac.c	0x3c5902
                  decode_significance_x86	4.339673	4.339673			0.087658	0.087658	0.0	0.0	libavcodec.so.62	decode_significance_x86	h264_cabac.c	0x3c4ec0
                  get_cabac	0.989547	0.989547			0.0	0.0	0.0	0.0	libavcodec.so.62	get_cabac	cabac_functions.h	0x3c3380
                   get_cabac_inline_x86	0.989547	0.989547			0.019988	0.019988	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c3380
                  get_cabac_bypass_sign_x86	0.596252	0.596252			0.012044	0.012044	0.0	0.0	libavcodec.so.62	get_cabac_bypass_sign_x86	cabac.h	0x3c5c25
                get_cabac	0.396245	0.396245			0.0	0.0	0.0	0.0	libavcodec.so.62	get_cabac	cabac_functions.h	0x3c3380
                 get_cabac_inline_x86	0.396245	0.396245			0.008004	0.008004	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c3380
                get_cabac_cbf_ctx	0.395418	0.395418			0.007987	0.007987	0.0	0.0	libavcodec.so.62	get_cabac_cbf_ctx	h264_cabac.c	0x3c9472
              decode_mb_skip	6.338330	6.338330			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_mb_skip	h264_mvpred.h	0x3c75b5
               ff_h264_pred_direct_motion	3.762162	3.762162			0.0	0.0	0.0	0.0	libavcodec.so.62	ff_h264_pred_direct_motion	h264_direct.c	0x3d5020
                pred_spatial_direct_motion	3.762162	3.762162			0.064018	0.064018	0.0	0.0	libavcodec.so.62	pred_spatial_direct_motion	h264_direct.c	0x3d503b
                 fill_rectangle	0.592833	0.592833			0.011975	0.011975	0.0	0.0	libavcodec.so.62	fill_rectangle	rectangle.h	0x3d6770
               fill_decode_caches	1.586789	1.586789			0.032052	0.032052	0.0	0.0	libavcodec.so.62	fill_decode_caches	h264_mvpred.h	0x3c3650
               write_back_motion	0.594472	0.594472			0.0	0.0	0.0	0.0	libavcodec.so.62	write_back_motion	h264_mvpred.h	0x3c7650
                write_back_motion_list	0.594472	0.594472			0.012008	0.012008	0.0	0.0	libavcodec.so.62	write_back_motion_list	h264_mvpred.h	0x3c7740
               memset	0.394908	0.394908			0.007977	0.007977	0.0	0.0	libavcodec.so.62	memset	string_fortified.h	0x3c75c0
              decode_cabac_mb_cbp_luma	2.966831	2.966831			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_cabac_mb_cbp_luma	h264_cabac.c	0x3c81b0
               get_cabac_noinline	2.966831	2.966831			0.0	0.0	0.0	0.0	libavcodec.so.62	get_cabac_noinline	cabac_functions.h	0x3c32e0
                get_cabac_inline_x86	2.966831	2.966831			0.059928	0.059928	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c32e0
              get_cabac_noinline	2.372241	2.372241			0.0	0.0	0.0	0.0	libavcodec.so.62	get_cabac_noinline	cabac_functions.h	0x3c32e0
               get_cabac_inline_x86	2.372241	2.372241			0.047918	0.047918	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c32e0
              decode_cabac_residual_dc	2.176008	2.176008			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_cabac_residual_dc	h264_cabac.c	0x3c8bfe
               decode_cabac_residual_dc_internal	2.176008	2.176008			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_cabac_residual_dc_internal	h264_cabac.c	0x3c53d0
                decode_cabac_residual_internal	2.176008	2.176008			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_cabac_residual_internal	h264_cabac.c	0x3c53e6
                 decode_significance_x86	1.587132	1.587132			0.032059	0.032059	0.0	0.0	libavcodec.so.62	decode_significance_x86	h264_cabac.c	0x3c4ec0
                 get_cabac_bypass_sign_x86	0.588875	0.588875			0.011895	0.011895	0.0	0.0	libavcodec.so.62	get_cabac_bypass_sign_x86	cabac.h	0x3c5685
              fill_decode_caches	1.981643	1.981643			0.040028	0.040028	0.0	0.0	libavcodec.so.62	fill_decode_caches	h264_mvpred.h	0x3c3650
              decode_cabac_residual_nondc	1.779967	1.779967			0.007999	0.007999	0.0	0.0	libavcodec.so.62	decode_cabac_residual_nondc	h264_cabac.c	0x3ca9a2
               decode_cabac_residual_nondc_internal	1.383959	1.383959			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_cabac_residual_nondc_internal	h264_cabac.c	0x3c5900
                decode_cabac_residual_internal	1.383959	1.383959			0.012014	0.012014	0.0	0.0	libavcodec.so.62	decode_cabac_residual_internal	h264_cabac.c	0x3c5902
                 get_cabac	0.395927	0.395927			0.0	0.0	0.0	0.0	libavcodec.so.62	get_cabac	cabac_functions.h	0x3c3380
                  get_cabac_inline_x86	0.395927	0.395927			0.007997	0.007997	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c3380
