Function	CPU Time	CPU Time:Effective Time	CPU Time:Spin Time	CPU Time:Overhead Time	Module	Function (Full)	Source File	Start Address
decode_significance_skip_x86	0.698988	0.698988	0.0	0.0	libavcodec.so.62	decode_significance_skip_x86	h264_cabac.c	0x3c5280
get_cabac_inline_x86	0.463042	0.463042	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c3580
decode_significance_8x8_skip_x86	0.376812	0.376812	0.0	0.0	libavcodec.so.62	decode_significance_8x8_skip_x86	h264_cabac.c	0x3c7793
ff_h264_decode_mb_cabac	0.239812	0.239812	0.0	0.0	libavcodec.so.62	ff_h264_decode_mb_cabac	h264_cabac.c	0x3c9660
get_cabac_inline_x86	0.157177	0.157177	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c7540
fill_decode_caches	0.148644	0.148644	0.0	0.0	libavcodec.so.62	fill_decode_caches	h264_mvpred.h	0x3c3850
get_cabac_inline_x86	0.115597	0.115597	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c34e0
pred_spatial_direct_motion	0.099694	0.099694	0.0	0.0	libavcodec.so.62	pred_spatial_direct_motion	h264_direct.c	0x3d727b
get_cabac_bypass_x86	0.086862	0.086862	0.0	0.0	libavcodec.so.62	get_cabac_bypass_x86	cabac.h	0x3c74c5
decode_cabac_residual_internal_skip	0.086545	0.086545	0.0	0.0	libavcodec.so.62	decode_cabac_residual_internal_skip	h264_cabac.c	0x3c7402
decode_cabac_mb_mvd	0.054353	0.054353	0.0	0.0	libavcodec.so.62	decode_cabac_mb_mvd	h264_cabac.c	0x3c7980
get_cabac_inline_x86	0.049662	0.049662	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c8f49
decode_cabac_luma_residual_skip	0.045572	0.045572	0.0	0.0	libavcodec.so.62	decode_cabac_luma_residual_skip	h264_cabac.c	0x3c9070
get_cabac_inline_x86	0.041329	0.041329	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c79d0
decode_cabac_residual_nondc_internal_skip	0.041185	0.041185	0.0	0.0	libavcodec.so.62	decode_cabac_residual_nondc_internal_skip	h264_cabac.c	0x3c7400
__memset_evex_unaligned_erms	0.037915	0.037915	0.0	0.0	libc.so.6	__memset_evex_unaligned_erms	memset-vec-unaligned-erms.S	0x1993c0
get_cabac_inline_x86	0.028930	0.028930	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c6afe
decode_cabac_mb_skip	0.028471	0.028471	0.0	0.0	libavcodec.so.62	decode_cabac_mb_skip	h264_cabac.c	0x3c5580
add_mb	0.024904	0.024904	0.0	0.0	libavcodec.so.62	add_mb	mpegutils.c	0x73390b
