Function	CPU Time	CPU Time:Effective Time	CPU Time:Spin Time	CPU Time:Overhead Time	Module	Function (Full)	Source File	Start Address
ff_h264_decode_mb_cabac	0.037387	0.037387	0.0	0.0	libavcodec.so.62	ff_h264_decode_mb_cabac	h264_cabac.c	0x3c9660
get_cabac_cbf_ctx	0.024559	0.024559	0.0	0.0	libavcodec.so.62	get_cabac_cbf_ctx	h264_cabac.c	0x3c9390
get_cabac_inline_x86	0.019915	0.019915	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c34e0
decode_significance_skip_x86	0.016104	0.016104	0.0	0.0	libavcodec.so.62	decode_significance_skip_x86	h264_cabac.c	0x3c5280
get_cabac_inline_x86	0.011987	0.011987	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c3580
decode_cabac_mb_mvd	0.011986	0.011986	0.0	0.0	libavcodec.so.62	decode_cabac_mb_mvd	h264_cabac.c	0x3c7980
decode_cabac_intra_mb_type	0.011963	0.011963	0.0	0.0	libavcodec.so.62	decode_cabac_intra_mb_type	h264_cabac.c	0x3c5410
get_cabac_inline_x86	0.011956	0.011956	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c8c83
decode_cabac_luma_residual_skip	0.011944	0.011944	0.0	0.0	libavcodec.so.62	decode_cabac_luma_residual_skip	h264_cabac.c	0x3c9070
decode_cabac_mb_skip	0.011395	0.011395	0.0	0.0	libavcodec.so.62	decode_cabac_mb_skip	h264_cabac.c	0x3c5580
..@9850.end	0.010001	0.010001	0.0	0.0	libavcodec.so.62	..@9850.end	x86inc.asm	0xc7cf40
release_unused_pictures	0.008605	0.008605	0.0	0.0	libavcodec.so.62	release_unused_pictures	h264_slice.c	0x40c920
fill_decode_caches	0.008093	0.008093	0.0	0.0	libavcodec.so.62	fill_decode_caches	h264_mvpred.h	0x3c3850
add_mb	0.008056	0.008056	0.0	0.0	libavcodec.so.62	add_mb	mpegutils.c	0x73390b
decode_cabac_residual_internal_skip	0.008037	0.008037	0.0	0.0	libavcodec.so.62	decode_cabac_residual_internal_skip	h264_cabac.c	0x3c7402
decode_mb_skip	0.008012	0.008012	0.0	0.0	libavcodec.so.62	decode_mb_skip	h264_mvpred.h	0x3c9e57
