Function	CPU Time	CPU Time:Effective Time	CPU Time:Spin Time	CPU Time:Overhead Time	Module	Function (Full)	Source File	Start Address
decode_significance_x86	0.965142	0.965142	0.0	0.0	libavcodec.so.62	decode_significance_x86	h264_cabac.c	0x3c4ec0
get_cabac_inline_x86	0.646566	0.646566	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c3380
decode_significance_8x8_x86	0.282773	0.282773	0.0	0.0	libavcodec.so.62	decode_significance_8x8_x86	h264_cabac.c	0x3c5eb8
decode_cabac_residual_internal	0.249961	0.249961	0.0	0.0	libavcodec.so.62	decode_cabac_residual_internal	h264_cabac.c	0x3c5902
get_cabac_inline_x86	0.194123	0.194123	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c32e0
..@3929.end	0.131193	0.131193	0.0	0.0	libavcodec.so.62	..@3929.end	[Unknown]	0xc6b5f0
ff_h264_decode_mb_cabac	0.122878	0.122878	0.0	0.0	libavcodec.so.62	ff_h264_decode_mb_cabac	h264_cabac.c	0x3c6df0
pred_spatial_direct_motion	0.101541	0.101541	0.0	0.0	libavcodec.so.62	pred_spatial_direct_motion	h264_direct.c	0x3d503b
..@3110.end	0.100537	0.100537	0.0	0.0	libavcodec.so.62	..@3110.end	x86inc.asm	0xc842b0
fill_decode_caches	0.093168	0.093168	0.0	0.0	libavcodec.so.62	fill_decode_caches	h264_mvpred.h	0x3c3650
..@5412.end	0.072064	0.072064	0.0	0.0	libavcodec.so.62	..@5412.end	x86inc.asm	0xc84f70
get_cabac_bypass_sign_x86	0.067623	0.067623	0.0	0.0	libavcodec.so.62	get_cabac_bypass_sign_x86	cabac.h	0x3c5a28
decode_cabac_luma_residual	0.063525	0.063525	0.0	0.0	libavcodec.so.62	decode_cabac_luma_residual	h264_cabac.c	0x3c833f
..@2921.end	0.063504	0.063504	0.0	0.0	libavcodec.so.62	..@2921.end	x86inc.asm	0xc6ce00
..@3309.end	0.059054	0.059054	0.0	0.0	libavcodec.so.62	..@3309.end	x86inc.asm	0xc6cfc0
decode_cabac_mb_mvd	0.050919	0.050919	0.0	0.0	libavcodec.so.62	decode_cabac_mb_mvd	h264_cabac.c	0x3c6820
..@7224.end	0.050711	0.050711	0.0	0.0	libavcodec.so.62	..@7224.end	x86inc.asm	0xc85910
__memset_evex_unaligned_erms	0.046767	0.046767	0.0	0.0	libc.so.6	__memset_evex_unaligned_erms	memset-vec-unaligned-erms.S	0x1993c0
ff_prefetch_mmxext	0.046644	0.046644	0.0	0.0	libavcodec.so.62	ff_prefetch_mmxext	videodsp.asm	0xd1a1b0
ff_put_h264_chroma_mc8_rnd_ssse3	0.042409	0.042409	0.0	0.0	libavcodec.so.62	ff_put_h264_chroma_mc8_rnd_ssse3	[Unknown]	0xc6b1f0
..@3054.end	0.042371	0.042371	0.0	0.0	libavcodec.so.62	..@3054.end	x86inc.asm	0xc72ab0
get_cabac_inline_x86	0.038234	0.038234	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c6870
__memmove_evex_unaligned_erms	0.033996	0.033996	0.0	0.0	libc.so.6	__memmove_evex_unaligned_erms	memmove-vec-unaligned-erms.S	0x198940
ff_deblock_h_chroma_8_avx	0.033937	0.033937	0.0	0.0	libavcodec.so.62	ff_deblock_h_chroma_8_avx	x86inc.asm	0xc6edc0
fill_filter_caches_inter	0.029950	0.029950	0.0	0.0	libavcodec.so.62	fill_filter_caches_inter	h264_slice.c	0x409815
ff_h264_biweight_16_ssse3.normal	0.029775	0.029775	0.0	0.0	libavcodec.so.62	ff_h264_biweight_16_ssse3.normal	x86inc.asm	0xc85f32
get_cabac_inline_x86	0.029635	0.029635	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c671e
h264_filter_mb_fast_internal	0.029598	0.029598	0.0	0.0	libavcodec.so.62	h264_filter_mb_fast_internal	h264_loopfilter.c	0x3ddff0
decode_cabac_residual_nondc	0.029563	0.029563	0.0	0.0	libavcodec.so.62	decode_cabac_residual_nondc	h264_cabac.c	0x3c9472
..@3534.branch_instr	0.025496	0.025496	0.0	0.0	libavcodec.so.62	..@3534.branch_instr	x86inc.asm	0xc8453f
ff_put_h264_qpel8or16_hv2_lowpass_ssse3.loop8	0.025457	0.025457	0.0	0.0	libavcodec.so.62	ff_put_h264_qpel8or16_hv2_lowpass_ssse3.loop8	x86inc.asm	0xc854bc
get_cabac_bypass_sign_x86	0.025450	0.025450	0.0	0.0	libavcodec.so.62	get_cabac_bypass_sign_x86	cabac.h	0x3c5c25
ff_h2645_extract_rbsp	0.025423	0.025423	0.0	0.0	libavcodec.so.62	ff_h2645_extract_rbsp	h2645_parse.c	0x3bff30
..@2290.end	0.025420	0.025420	0.0	0.0	libavcodec.so.62	..@2290.end	x86inc.asm	0xc83ee0
..@11069.branch_instr	0.025411	0.025411	0.0	0.0	libavcodec.so.62	..@11069.branch_instr	x86inc.asm	0xc6fad7
decode_cabac_mb_ref	0.025378	0.025378	0.0	0.0	libavcodec.so.62	decode_cabac_mb_ref	h264_cabac.c	0x3c66a0
hl_motion_420_simple_8	0.025356	0.025356	0.0	0.0	libavcodec.so.62	hl_motion_420_simple_8	h264_mc_template.c	0x3f70c6
add_mb	0.021269	0.021269	0.0	0.0	libavcodec.so.62	add_mb	mpegutils.c	0x72fc59
..@8673.end	0.021193	0.021193	0.0	0.0	libavcodec.so.62	..@8673.end	x86inc.asm	0xc6ecc0
..@1352.end	0.021171	0.021171	0.0	0.0	libavcodec.so.62	..@1352.end	[Unknown]	0xc69f60
pred_motion	0.021169	0.021169	0.0	0.0	libavcodec.so.62	pred_motion	h264_mvpred.h	0x3c878d
decode_slice	0.021162	0.021162	0.0	0.0	libavcodec.so.62	decode_slice	h264_slice.c	0x40b400
..@2570.end	0.021162	0.021162	0.0	0.0	libavcodec.so.62	..@2570.end	x86inc.asm	0xc84040
..@2761.branch_instr	0.021141	0.021141	0.0	0.0	libavcodec.so.62	..@2761.branch_instr	x86inc.asm	0xd198fa
ff_put_h264_qpel8or16_hv2_lowpass_ssse3.op16	0.021120	0.021120	0.0	0.0	libavcodec.so.62	ff_put_h264_qpel8or16_hv2_lowpass_ssse3.op16	x86inc.asm	0xc85537
get_cabac_terminate	0.017001	0.017001	0.0	0.0	libavcodec.so.62	get_cabac_terminate	cabac_functions.h	0x40b7d0
write_back_motion_list	0.016928	0.016928	0.0	0.0	libavcodec.so.62	write_back_motion_list	h264_mvpred.h	0x3c84a0
..@11068..skip_loop_iter	0.016923	0.016923	0.0	0.0	libavcodec.so.62	..@11068..skip_loop_iter	x86inc.asm	0xc6fb9f
ff_put_pixels16_l2_mmxext.loop	0.016920	0.016920	0.0	0.0	libavcodec.so.62	ff_put_pixels16_l2_mmxext.loop	x86inc.asm	0xd00061
hl_decode_mb_simple_8	0.016918	0.016918	0.0	0.0	libavcodec.so.62	hl_decode_mb_simple_8	h264_mb_template.c	0x3f6c20
..@2034.end	0.016917	0.016917	0.0	0.0	libavcodec.so.62	..@2034.end	[Unknown]	0xc6a9f0
ff_print_debug_info2	0.016907	0.016907	0.0	0.0	libavcodec.so.62	ff_print_debug_info2	mpegutils.c	0x72f450
get_cabac_cbf_ctx	0.016902	0.016902	0.0	0.0	libavcodec.so.62	get_cabac_cbf_ctx	h264_cabac.c	0x3ca9a2
..@4788.end	0.016873	0.016873	0.0	0.0	libavcodec.so.62	..@4788.end	x86inc.asm	0xc84cd0
filter_mb_edgev	0.012745	0.012745	0.0	0.0	libavcodec.so.62	filter_mb_edgev	h264_loopfilter.c	0x3de101
..@3929.end	0.012730	0.012730	0.0	0.0	libavcodec.so.62	..@3929.end	h264_chromamc.asm	0xc6b5f0
filter_mb_edgev	0.012727	0.012727	0.0	0.0	libavcodec.so.62	filter_mb_edgev	h264_loopfilter.c	0x3e14f6
ff_h264_biweight_8_ssse3.nextrow	0.012723	0.012723	0.0	0.0	libavcodec.so.62	ff_h264_biweight_8_ssse3.nextrow	x86inc.asm	0xc8601a
await_reference_mb_row	0.012721	0.012721	0.0	0.0	libavcodec.so.62	await_reference_mb_row	h264_direct.c	0x3d503b
get_chroma_qp	0.012714	0.012714	0.0	0.0	libavcodec.so.62	get_chroma_qp	h264dec.h	0x40934c
..@1474.end	0.012708	0.012708	0.0	0.0	libavcodec.so.62	..@1474.end	x86inc.asm	0xc83b00
fill_filter_caches	0.012706	0.012706	0.0	0.0	libavcodec.so.62	fill_filter_caches	h264_slice.c	0x408d42
..@3899.end	0.012706	0.012706	0.0	0.0	libavcodec.so.62	..@3899.end	x86inc.asm	0xc84780
put_h264_qpel8or16_hv1_lowpass_sse2	0.012705	0.012705	0.0	0.0	libavcodec.so.62	put_h264_qpel8or16_hv1_lowpass_sse2	h264_qpel.c	0xc7c656
decode_cabac_residual_nondc_internal	0.012703	0.012703	0.0	0.0	libavcodec.so.62	decode_cabac_residual_nondc_internal	h264_cabac.c	0x3c5900
avg_h264_qpel8_mc12_ssse3	0.012702	0.012702	0.0	0.0	libavcodec.so.62	avg_h264_qpel8_mc12_ssse3	h264_qpel.c	0xc7c9d0
mc_part_420_simple_8	0.012702	0.012702	0.0	0.0	libavcodec.so.62	mc_part_420_simple_8	h264_mc_template.c	0x3e4800
put_h264_qpel8_mc30_ssse3	0.012700	0.012700	0.0	0.0	libavcodec.so.62	put_h264_qpel8_mc30_ssse3	h264_qpel.c	0xc7ba40
add_mb	0.012697	0.012697	0.0	0.0	libavcodec.so.62	add_mb	mpegutils.c	0x73001d
h264_filter_mb_fast_internal	0.012692	0.012692	0.0	0.0	libavcodec.so.62	h264_filter_mb_fast_internal	h264_loopfilter.c	0x3ddbc0
