Function	CPU Time	CPU Time:Effective Time	CPU Time:Spin Time	CPU Time:Overhead Time	Module	Function (Full)	Source File	Start Address
decode_significance_x86	0.701994	0.701994	0.0	0.0	libavcodec.so.62	decode_significance_x86	h264_cabac.c	0x3c4ec0
get_cabac_inline_x86	0.521857	0.521857	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c3380
decode_significance_8x8_x86	0.329037	0.329037	0.0	0.0	libavcodec.so.62	decode_significance_8x8_x86	h264_cabac.c	0x3c5eb8
decode_cabac_residual_internal	0.192634	0.192634	0.0	0.0	libavcodec.so.62	decode_cabac_residual_internal	h264_cabac.c	0x3c5902
ff_h264_decode_mb_cabac	0.185120	0.185120	0.0	0.0	libavcodec.so.62	ff_h264_decode_mb_cabac	h264_cabac.c	0x3c6df0
..@5412.end	0.132567	0.132567	0.0	0.0	libavcodec.so.62	..@5412.end	x86inc.asm	0xc84f70
get_cabac_inline_x86	0.132292	0.132292	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c32e0
..@3110.end	0.104344	0.104344	0.0	0.0	libavcodec.so.62	..@3110.end	x86inc.asm	0xc842b0
fill_decode_caches	0.100372	0.100372	0.0	0.0	libavcodec.so.62	fill_decode_caches	h264_mvpred.h	0x3c3650
..@3929.end	0.080452	0.080452	0.0	0.0	libavcodec.so.62	..@3929.end	[Unknown]	0xc6b5f0
get_cabac_bypass_sign_x86	0.076079	0.076079	0.0	0.0	libavcodec.so.62	get_cabac_bypass_sign_x86	cabac.h	0x3c5a28
pred_spatial_direct_motion	0.072096	0.072096	0.0	0.0	libavcodec.so.62	pred_spatial_direct_motion	h264_direct.c	0x3d503b
get_cabac_inline_x86	0.060037	0.060037	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c6870
get_cabac_bypass_sign_x86	0.056345	0.056345	0.0	0.0	libavcodec.so.62	get_cabac_bypass_sign_x86	cabac.h	0x3c5c25
__memmove_evex_unaligned_erms	0.052428	0.052428	0.0	0.0	libc.so.6	__memmove_evex_unaligned_erms	memmove-vec-unaligned-erms.S	0x198940
..@2921.end	0.048212	0.048212	0.0	0.0	libavcodec.so.62	..@2921.end	x86inc.asm	0xc6ce00
decode_cabac_luma_residual	0.048091	0.048091	0.0	0.0	libavcodec.so.62	decode_cabac_luma_residual	h264_cabac.c	0x3c833f
put_pixels8_8_c	0.048071	0.048071	0.0	0.0	libavcodec.so.62	put_pixels8_8_c	pel_template.c	0x45821c
hl_decode_mb_simple_8	0.044430	0.044430	0.0	0.0	libavcodec.so.62	hl_decode_mb_simple_8	h264_mb_template.c	0x3f6c20
..@3309.end	0.044145	0.044145	0.0	0.0	libavcodec.so.62	..@3309.end	x86inc.asm	0xc6cfc0
mc_part_420_simple_8	0.040329	0.040329	0.0	0.0	libavcodec.so.62	mc_part_420_simple_8	h264_mc_template.c	0x3e4800
..@3383.end	0.040071	0.040071	0.0	0.0	libavcodec.so.62	..@3383.end	[Unknown]	0xc6b1f0
h264_filter_mb_fast_internal	0.039976	0.039976	0.0	0.0	libavcodec.so.62	h264_filter_mb_fast_internal	h264_loopfilter.c	0x3ddff0
ff_print_debug_info2	0.036241	0.036241	0.0	0.0	libavcodec.so.62	ff_print_debug_info2	mpegutils.c	0x72f450
fill_filter_caches_inter	0.032136	0.032136	0.0	0.0	libavcodec.so.62	fill_filter_caches_inter	h264_slice.c	0x408ea2
ff_h264_idct8_add4_8_sse2.no_dc	0.029987	0.029987	0.0	0.0	libavcodec.so.62	ff_h264_idct8_add4_8_sse2.no_dc	h264_idct.asm	0xc724c6
__memset_evex_unaligned_erms	0.028255	0.028255	0.0	0.0	libc.so.6	__memset_evex_unaligned_erms	memset-vec-unaligned-erms.S	0x1993c0
..@8673.end	0.028163	0.028163	0.0	0.0	libavcodec.so.62	..@8673.end	x86inc.asm	0xc6ecc0
..@1838.end	0.028141	0.028141	0.0	0.0	libavcodec.so.62	..@1838.end	[Unknown]	0xc85f00
get_cabac_cbf_ctx	0.028050	0.028050	0.0	0.0	libavcodec.so.62	get_cabac_cbf_ctx	h264_cabac.c	0x3ca9a2
mc_dir_part	0.028007	0.028007	0.0	0.0	libavcodec.so.62	mc_dir_part	h264_mb.c	0x3e4c47
..@3929.end	0.024213	0.024213	0.0	0.0	libavcodec.so.62	..@3929.end	h264_chromamc.asm	0xc6b5f0
decode_cabac_residual_nondc	0.024064	0.024064	0.0	0.0	libavcodec.so.62	decode_cabac_residual_nondc	h264_cabac.c	0x3c9472
..@5785.branch_instr	0.024018	0.024018	0.0	0.0	libavcodec.so.62	..@5785.branch_instr	x86inc.asm	0xc851ab
..@8895.end	0.024008	0.024008	0.0	0.0	libavcodec.so.62	..@8895.end	x86inc.asm	0xc6edc0
mid_pred	0.023983	0.023983	0.0	0.0	libavcodec.so.62	mid_pred	mathops.h	0x3c9d73
loop_filter	0.020193	0.020193	0.0	0.0	libavcodec.so.62	loop_filter	h264_slice.c	0x408a70
..@7058.end	0.020185	0.020185	0.0	0.0	libavcodec.so.62	..@7058.end	videodsp.asm	0xd1a1b0
..@11068..skip_loop_iter	0.020168	0.020168	0.0	0.0	libavcodec.so.62	..@11068..skip_loop_iter	x86inc.asm	0xc6fb9f
fill_filter_caches_inter	0.020153	0.020153	0.0	0.0	libavcodec.so.62	fill_filter_caches_inter	h264_slice.c	0x409815
ff_put_pixels8_l2_shift5_mmxext.loop	0.020152	0.020152	0.0	0.0	libavcodec.so.62	ff_put_pixels8_l2_shift5_mmxext.loop	x86inc.asm	0xc85866
decode_cabac_mb_ref	0.020141	0.020141	0.0	0.0	libavcodec.so.62	decode_cabac_mb_ref	h264_cabac.c	0x3c66a0
get_cabac_cbf_ctx	0.020131	0.020131	0.0	0.0	libavcodec.so.62	get_cabac_cbf_ctx	h264_cabac.c	0x3c9472
..@3054.end	0.020103	0.020103	0.0	0.0	libavcodec.so.62	..@3054.end	x86inc.asm	0xc72ab0
..@7224.end	0.020092	0.020092	0.0	0.0	libavcodec.so.62	..@7224.end	x86inc.asm	0xc85910
pred_motion	0.020064	0.020064	0.0	0.0	libavcodec.so.62	pred_motion	h264_mvpred.h	0x3c878d
mc_part_std	0.020035	0.020035	0.0	0.0	libavcodec.so.62	mc_part_std	h264_mb.c	0x3e48c0
get_cabac_bypass_sign_x86	0.020000	0.020000	0.0	0.0	libavcodec.so.62	get_cabac_bypass_sign_x86	cabac.h	0x3c6a2e
hl_motion_420_simple_8	0.019890	0.019890	0.0	0.0	libavcodec.so.62	hl_motion_420_simple_8	h264_mc_template.c	0x3f70c6
add_mb	0.016146	0.016146	0.0	0.0	libavcodec.so.62	add_mb	mpegutils.c	0x72fc59
ff_put_h264_chroma_mc2_mmxext	0.016107	0.016107	0.0	0.0	libavcodec.so.62	ff_put_h264_chroma_mc2_mmxext	h264_chromamc.asm	0xc6a9f0
put_h264_qpel8_mc31_ssse3	0.016067	0.016067	0.0	0.0	libavcodec.so.62	put_h264_qpel8_mc31_ssse3	h264_qpel.c	0xc7b9c0
get_cabac_inline_x86	0.016055	0.016055	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c671e
decode_cabac_residual_internal	0.016031	0.016031	0.0	0.0	libavcodec.so.62	decode_cabac_residual_internal	h264_cabac.c	0x3c53e6
decode_cabac_mb_mvd	0.016011	0.016011	0.0	0.0	libavcodec.so.62	decode_cabac_mb_mvd	h264_cabac.c	0x3c6820
..@2607.branch_instr	0.012231	0.012231	0.0	0.0	libavcodec.so.62	..@2607.branch_instr	x86inc.asm	0xd198a0
put_pixels4_8_c	0.012186	0.012186	0.0	0.0	libavcodec.so.62	put_pixels4_8_c	pel_template.c	0x458024
ff_avg_h264_qpel8or16_hv2_lowpass_ssse3.op16	0.012133	0.012133	0.0	0.0	libavcodec.so.62	ff_avg_h264_qpel8or16_hv2_lowpass_ssse3.op16	x86inc.asm	0xc856a3
ff_h264_idct8_add4_8_sse2.nextblock	0.012131	0.012131	0.0	0.0	libavcodec.so.62	ff_h264_idct8_add4_8_sse2.nextblock	h264_idct.asm	0xc723dd
..@10968..skip_loop_iter	0.012119	0.012119	0.0	0.0	libavcodec.so.62	..@10968..skip_loop_iter	x86inc.asm	0xc6fa98
..@11165.branch_instr	0.012083	0.012083	0.0	0.0	libavcodec.so.62	..@11165.branch_instr	x86inc.asm	0xc6fbd1
..@4693.branch_instr	0.012082	0.012082	0.0	0.0	libavcodec.so.62	..@4693.branch_instr	x86inc.asm	0xd19e1a
pred_16x8_motion	0.012065	0.012065	0.0	0.0	libavcodec.so.62	pred_16x8_motion	h264_mvpred.h	0x3c878d
pred_8x16_motion	0.012064	0.012064	0.0	0.0	libavcodec.so.62	pred_8x16_motion	h264_mvpred.h	0x3cb760
