Function Stack	CPU Time:Total	CPU Time:Effective Time:Total	CPU Time:Spin Time:Total	CPU Time:Overhead Time:Total	CPU Time:Self	CPU Time:Effective Time:Self	CPU Time:Spin Time:Self	CPU Time:Overhead Time:Self	Module	Function (Full)	Source File	Start Address
Total	100.000000	100.000000			0.0	0.0	0.0	0.0	[Unknown]	[Unknown]	[Unknown]	[Unknown]
 _start	100.000000	100.000000			0.0	0.0	0.0	0.0	extractor4	_start	[Unknown]	0x2c50
  __libc_start_main_impl	100.000000	100.000000			0.0	0.0	0.0	0.0	libc.so.6	__libc_start_main_impl	libc-start.c	0x2a200
   main	100.000000	100.000000			0.0	0.0	0.0	0.0	extractor4	main	[Unknown]	0x25f0
    avcodec_send_packet	97.642097	97.642097			0.0	0.0	0.0	0.0	libavcodec.so.62	avcodec_send_packet	decode.c	0x2b9cc0
     decode_receive_frame_internal	97.642097	97.642097			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_receive_frame_internal	decode.c	0x2b9970
      ff_decode_receive_frame_internal	97.642097	97.642097			0.0	0.0	0.0	0.0	libavcodec.so.62	ff_decode_receive_frame_internal	decode.c	0x2b9440
       decode_simple_receive_frame	97.642097	97.642097			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_simple_receive_frame	decode.c	0x2b9510
        decode_simple_internal	97.642097	97.642097			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_simple_internal	decode.c	0x2b9510
         h264_decode_frame	97.642097	97.642097			0.0	0.0	0.0	0.0	libavcodec.so.62	h264_decode_frame	h264dec.c	0x417760
          decode_nal_units	95.259229	95.259229			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_nal_units	h264dec.c	0x417857
           ff_h264_execute_decode_slices	94.070952	94.070952			0.0	0.0	0.0	0.0	libavcodec.so.62	ff_h264_execute_decode_slices	h264_slice.c	0x40c870
            decode_slice	94.070952	94.070952			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_slice	h264_slice.c	0x40b400
             ff_h264_decode_mb_cabac	61.674437	61.674437			0.185120	0.185120	0.0	0.0	libavcodec.so.62	ff_h264_decode_mb_cabac	h264_cabac.c	0x3c6df0
              decode_cabac_luma_residual	34.404263	34.404263			0.048091	0.048091	0.0	0.0	libavcodec.so.62	decode_cabac_luma_residual	h264_cabac.c	0x3c833f
               decode_cabac_residual_nondc	23.727765	23.727765			0.024064	0.024064	0.0	0.0	libavcodec.so.62	decode_cabac_residual_nondc	h264_cabac.c	0x3c9472
                decode_cabac_residual_nondc_internal	21.988106	21.988106			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_cabac_residual_nondc_internal	h264_cabac.c	0x3c5900
                 decode_cabac_residual_internal	21.988106	21.988106			0.112258	0.112258	0.0	0.0	libavcodec.so.62	decode_cabac_residual_internal	h264_cabac.c	0x3c5902
                  decode_significance_x86	11.767829	11.767829			0.517628	0.517628	0.0	0.0	libavcodec.so.62	decode_significance_x86	h264_cabac.c	0x3c4ec0
                  get_cabac	6.208505	6.208505			0.0	0.0	0.0	0.0	libavcodec.so.62	get_cabac	cabac_functions.h	0x3c3380
                   get_cabac_inline_x86	6.208505	6.208505			0.273091	0.273091	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c3380
                  get_cabac_bypass_sign_x86	1.005144	1.005144			0.044213	0.044213	0.0	0.0	libavcodec.so.62	get_cabac_bypass_sign_x86	cabac.h	0x3c5c25
                  get_cabac_bypass_sign_x86	0.454544	0.454544			0.019994	0.019994	0.0	0.0	libavcodec.so.62	get_cabac_bypass_sign_x86	cabac.h	0x3c5a28
                get_cabac	0.734923	0.734923			0.0	0.0	0.0	0.0	libavcodec.so.62	get_cabac	cabac_functions.h	0x3c3380
                 get_cabac_inline_x86	0.734923	0.734923			0.032327	0.032327	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c3380
                get_cabac_cbf_ctx	0.457667	0.457667			0.020131	0.020131	0.0	0.0	libavcodec.so.62	get_cabac_cbf_ctx	h264_cabac.c	0x3c9472
               decode_cabac_residual_nondc	9.399265	9.399265			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_cabac_residual_nondc	h264_cabac.c	0x3c8b76
                decode_cabac_residual_nondc_internal	9.399265	9.399265			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_cabac_residual_nondc_internal	h264_cabac.c	0x3c5900
                 decode_cabac_residual_internal	9.399265	9.399265			0.024179	0.024179	0.0	0.0	libavcodec.so.62	decode_cabac_residual_internal	h264_cabac.c	0x3c5902
                  decode_significance_8x8_x86	7.208624	7.208624			0.317083	0.317083	0.0	0.0	libavcodec.so.62	decode_significance_8x8_x86	h264_cabac.c	0x3c5eb8
                  get_cabac	0.821729	0.821729			0.0	0.0	0.0	0.0	libavcodec.so.62	get_cabac	cabac_functions.h	0x3c3380
                   get_cabac_inline_x86	0.821729	0.821729			0.036145	0.036145	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c3380
                  get_cabac_bypass_sign_x86	0.819220	0.819220			0.036035	0.036035	0.0	0.0	libavcodec.so.62	get_cabac_bypass_sign_x86	cabac.h	0x3c5a28
               decode_cabac_residual_nondc	0.183915	0.183915			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_cabac_residual_nondc	h264_cabac.c	0x3c8400
                decode_cabac_residual_nondc_internal	0.183915	0.183915			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_cabac_residual_nondc_internal	h264_cabac.c	0x3c5900
                 decode_cabac_residual_internal	0.183915	0.183915			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_cabac_residual_internal	h264_cabac.c	0x3c5902
                  get_cabac	0.183915	0.183915			0.0	0.0	0.0	0.0	libavcodec.so.62	get_cabac	cabac_functions.h	0x3c3380
                   get_cabac_inline_x86	0.183915	0.183915			0.008090	0.008090	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c3380
              decode_cabac_residual_nondc	6.109357	6.109357			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_cabac_residual_nondc	h264_cabac.c	0x3ca9a2
               decode_cabac_residual_nondc_internal	4.923769	4.923769			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_cabac_residual_nondc_internal	h264_cabac.c	0x3c5900
                decode_cabac_residual_internal	4.923769	4.923769			0.028064	0.028064	0.0	0.0	libavcodec.so.62	decode_cabac_residual_internal	h264_cabac.c	0x3c5902
                 decode_significance_x86	3.007916	3.007916			0.132308	0.132308	0.0	0.0	libavcodec.so.62	decode_significance_x86	h264_cabac.c	0x3c4ec0
                 get_cabac	0.546200	0.546200			0.0	0.0	0.0	0.0	libavcodec.so.62	get_cabac	cabac_functions.h	0x3c3380
                  get_cabac_inline_x86	0.546200	0.546200			0.024026	0.024026	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c3380
                 get_cabac_bypass_sign_x86	0.455829	0.455829			0.020050	0.020050	0.0	0.0	libavcodec.so.62	get_cabac_bypass_sign_x86	cabac.h	0x3c5a28
                 get_cabac_bypass_sign_x86	0.275819	0.275819			0.012132	0.012132	0.0	0.0	libavcodec.so.62	get_cabac_bypass_sign_x86	cabac.h	0x3c5c25
               get_cabac	0.730825	0.730825			0.0	0.0	0.0	0.0	libavcodec.so.62	get_cabac	cabac_functions.h	0x3c3380
                get_cabac_inline_x86	0.730825	0.730825			0.032147	0.032147	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c3380
               get_cabac_cbf_ctx	0.454763	0.454763			0.020004	0.020004	0.0	0.0	libavcodec.so.62	get_cabac_cbf_ctx	h264_cabac.c	0x3ca9a2
              decode_cabac_mb_mvd	4.097142	4.097142			0.016011	0.016011	0.0	0.0	libavcodec.so.62	decode_cabac_mb_mvd	h264_cabac.c	0x3c6820
               get_cabac	1.731140	1.731140			0.0	0.0	0.0	0.0	libavcodec.so.62	get_cabac	cabac_functions.h	0x3c3380
                get_cabac_inline_x86	1.731140	1.731140			0.076147	0.076147	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c3380
               get_cabac	1.364894	1.364894			0.0	0.0	0.0	0.0	libavcodec.so.62	get_cabac	cabac_functions.h	0x3c6870
                get_cabac_inline_x86	1.364894	1.364894			0.060037	0.060037	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c6870
