Function	CPU Time	CPU Time:Effective Time	CPU Time:Spin Time	CPU Time:Overhead Time	Module	Function (Full)	Source File	Start Address
decode_residual_skip	0.118967	0.118967	0.0	0.0	libavcodec.so.62	decode_residual_skip	h264_cavlc.c	0x3d18b0
decode_luma_residual_skip	0.072420	0.072420	0.0	0.0	libavcodec.so.62	decode_luma_residual_skip	h264_cavlc.c	0x3d1600
__memset_evex_unaligned_erms	0.054385	0.054385	0.0	0.0	libc.so.6	__memset_evex_unaligned_erms	memset-vec-unaligned-erms.S	0x1993c0
ff_h264_decode_mb_cavlc	0.038565	0.038565	0.0	0.0	libavcodec.so.62	ff_h264_decode_mb_cavlc	h264_cavlc.c	0x3d1f10
fill_decode_caches	0.038533	0.038533	0.0	0.0	libavcodec.so.62	fill_decode_caches	h264_mvpred.h	0x3ce960
fill_decode_neighbors	0.021437	0.021437	0.0	0.0	libavcodec.so.62	fill_decode_neighbors	h264_mvpred.h	0x3ce730
fill_rectangle	0.017063	0.017063	0.0	0.0	libavcodec.so.62	fill_rectangle	rectangle.h	0x3d5919
pred_motion	0.013017	0.013017	0.0	0.0	libavcodec.so.62	pred_motion	h264_mvpred.h	0x3d3f4f
get_vlc2	0.012915	0.012915	0.0	0.0	libavcodec.so.62	get_vlc2	get_bits.h	0x3d18cb
av_vlog	0.012878	0.012878	0.0	0.0	libavutil.so.60	av_vlog	log.c	0x40960
ff_print_debug_info2_optimized	0.012856	0.012856	0.0	0.0	libavcodec.so.62	ff_print_debug_info2_optimized	mpegutils.c	0x733710
fill_rectangle	0.012844	0.012844	0.0	0.0	libavcodec.so.62	fill_rectangle	rectangle.h	0x3d2f0b
get_ue_golomb_31	0.012814	0.012814	0.0	0.0	libavcodec.so.62	get_ue_golomb_31	golomb.h	0x3d3671
decode_mb_skip	0.012812	0.012812	0.0	0.0	libavcodec.so.62	decode_mb_skip	h264_mvpred.h	0x3d21f7
get_ue_golomb_31	0.012792	0.012792	0.0	0.0	libavcodec.so.62	get_ue_golomb_31	golomb.h	0x3d3588
__posix_memalign	0.010000	0.010000	0.0	0.0	libc.so.6	__posix_memalign	malloc.c	0xaf450
get_vlc2	0.008590	0.008590	0.0	0.0	libavcodec.so.62	get_vlc2	get_bits.h	0x3d197a
add_mb	0.008582	0.008582	0.0	0.0	libavcodec.so.62	add_mb	mpegutils.c	0x73390b
get_vlc2	0.008582	0.008582	0.0	0.0	libavcodec.so.62	get_vlc2	get_bits.h	0x3d1bbe
skip_bits	0.008561	0.008561	0.0	0.0	libavcodec.so.62	skip_bits	get_bits.h	0x3d19c4
get_vlc2	0.008559	0.008559	0.0	0.0	libavcodec.so.62	get_vlc2	get_bits.h	0x3d1bf8
fill_rectangle	0.008558	0.008558	0.0	0.0	libavcodec.so.62	fill_rectangle	rectangle.h	0x3d4083
..@9628.end	0.008557	0.008557	0.0	0.0	libavcodec.so.62	..@9628.end	x86inc.asm	0xc7ce60
fill_rectangle	0.008553	0.008553	0.0	0.0	libavcodec.so.62	fill_rectangle	rectangle.h	0x3d2f37
get_ue_golomb_31	0.008551	0.008551	0.0	0.0	libavcodec.so.62	get_ue_golomb_31	golomb.h	0x3d2544
_mm_load_si128	0.008548	0.008548	0.0	0.0	libavcodec.so.62	_mm_load_si128	emmintrin.h	0x3cebfd
pred_intra_mode	0.008546	0.008546	0.0	0.0	libavcodec.so.62	pred_intra_mode	h264_mvpred.h	0x3d26b5
get_vlc2	0.008544	0.008544	0.0	0.0	libavcodec.so.62	get_vlc2	get_bits.h	0x3d1b93
fill_rectangle	0.008538	0.008538	0.0	0.0	libavcodec.so.62	fill_rectangle	rectangle.h	0x3d4da6
fill_rectangle	0.008527	0.008527	0.0	0.0	libavcodec.so.62	fill_rectangle	rectangle.h	0x3d553a
add_mb	0.008519	0.008519	0.0	0.0	libavcodec.so.62	add_mb	mpegutils.c	0x73427d
add_mb	0.008519	0.008519	0.0	0.0	libavcodec.so.62	add_mb	mpegutils.c	0x733df9
get_se_golomb	0.008488	0.008488	0.0	0.0	libavcodec.so.62	get_se_golomb	golomb.h	0x3d4039
