Function Stack	CPU Time:Total	CPU Time:Effective Time:Total	CPU Time:Spin Time:Total	CPU Time:Overhead Time:Total	CPU Time:Self	CPU Time:Effective Time:Self	CPU Time:Spin Time:Self	CPU Time:Overhead Time:Self	Module	Function (Full)	Source File	Start Address
Total	100.000000	100.000000			0.0	0.0	0.0	0.0	[Unknown]	[Unknown]	[Unknown]	[Unknown]
 _start	100.000000	100.000000			0.0	0.0	0.0	0.0	extractor4	_start	[Unknown]	0x2c60
  __libc_start_main_impl	100.000000	100.000000			0.0	0.0	0.0	0.0	libc.so.6	__libc_start_main_impl	libc-start.c	0x2a200
   main	100.000000	100.000000			0.0	0.0	0.0	0.0	extractor4	main	[Unknown]	0x25f0
    avcodec_send_packet	89.841844	89.841844			0.0	0.0	0.0	0.0	libavcodec.so.62	avcodec_send_packet	decode.c	0x2b9e90
     decode_receive_frame_internal	89.841844	89.841844			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_receive_frame_internal	decode.c	0x2b9b20
      ff_decode_receive_frame_internal	89.841844	89.841844			0.0	0.0	0.0	0.0	libavcodec.so.62	ff_decode_receive_frame_internal	decode.c	0x2b95f0
       decode_simple_receive_frame	89.841844	89.841844			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_simple_receive_frame	decode.c	0x2b96c0
        decode_simple_internal	89.841844	89.841844			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_simple_internal	decode.c	0x2b96c0
         h264_decode_frame	89.841844	89.841844			0.0	0.0	0.0	0.0	libavcodec.so.62	h264_decode_frame	h264dec.c	0x419ec0
          decode_nal_units	81.553829	81.553829			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_nal_units	h264dec.c	0x419fb7
           ff_h264_execute_decode_slices	79.939938	79.939938			0.0	0.0	0.0	0.0	libavcodec.so.62	ff_h264_execute_decode_slices	h264_slice.c	0x410680
            decode_slice	79.939938	79.939938			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_slice	h264_slice.c	0x40efc0
             ff_h264_decode_mb_cavlc	79.939938	79.939938			0.038565	0.038565	0.0	0.0	libavcodec.so.62	ff_h264_decode_mb_cavlc	h264_cavlc.c	0x3d1f10
              decode_luma_residual_skip	39.885712	39.885712			0.072420	0.072420	0.0	0.0	libavcodec.so.62	decode_luma_residual_skip	h264_cavlc.c	0x3d1600
               decode_residual_skip	28.197846	28.197846			0.118967	0.118967	0.0	0.0	libavcodec.so.62	decode_residual_skip	h264_cavlc.c	0x3d18b0
                get_vlc2	2.084345	2.084345			0.012915	0.012915	0.0	0.0	libavcodec.so.62	get_vlc2	get_bits.h	0x3d18cb
                get_vlc2	1.386403	1.386403			0.008590	0.008590	0.0	0.0	libavcodec.so.62	get_vlc2	get_bits.h	0x3d197a
                get_vlc2	1.385009	1.385009			0.008582	0.008582	0.0	0.0	libavcodec.so.62	get_vlc2	get_bits.h	0x3d1bbe
                skip_bits	1.381714	1.381714			0.008561	0.008561	0.0	0.0	libavcodec.so.62	skip_bits	get_bits.h	0x3d19c4
                get_vlc2	1.381398	1.381398			0.008559	0.008559	0.0	0.0	libavcodec.so.62	get_vlc2	get_bits.h	0x3d1bf8
