Function	CPU Time	CPU Time:Effective Time	CPU Time:Spin Time	CPU Time:Overhead Time	Module	Function (Full)	Source File	Start Address
decode_residual_skip	0.087988	0.087988	0.0	0.0	libavcodec.so.62	decode_residual_skip	h264_cavlc.c	0x3d18b0
ff_h264_decode_mb_cavlc	0.047992	0.047992	0.0	0.0	libavcodec.so.62	ff_h264_decode_mb_cavlc	h264_cavlc.c	0x3d1f10
decode_luma_residual_skip	0.019989	0.019989	0.0	0.0	libavcodec.so.62	decode_luma_residual_skip	h264_cavlc.c	0x3d1600
get_vlc2	0.019970	0.019970	0.0	0.0	libavcodec.so.62	get_vlc2	get_bits.h	0x3d1b93
add_mb	0.017997	0.017997	0.0	0.0	libavcodec.so.62	add_mb	mpegutils.c	0x733df9
add_mb	0.016054	0.016054	0.0	0.0	libavcodec.so.62	add_mb	mpegutils.c	0x7338cb
get_se_golomb	0.015992	0.015992	0.0	0.0	libavcodec.so.62	get_se_golomb	golomb.h	0x3d3ff2
__memset_evex_unaligned_erms	0.012051	0.012051	0.0	0.0	libc.so.6	__memset_evex_unaligned_erms	memset-vec-unaligned-erms.S	0x1993c0
get_bits_long	0.012045	0.012045	0.0	0.0	libavcodec.so.62	get_bits_long	get_bits.h	0x3d2d5d
fill_rectangle	0.012044	0.012044	0.0	0.0	libavcodec.so.62	fill_rectangle	rectangle.h	0x3d553a
skip_bits	0.012025	0.012025	0.0	0.0	libavcodec.so.62	skip_bits	get_bits.h	0x3d1b0d
pack16to32	0.012009	0.012009	0.0	0.0	libavcodec.so.62	pack16to32	h264_parse.h	0x3d2cc5
get_se_golomb	0.012007	0.012007	0.0	0.0	libavcodec.so.62	get_se_golomb	golomb.h	0x3d54ad
decode_residual	0.012006	0.012006	0.0	0.0	libavcodec.so.62	decode_residual	h264_cavlc.c	0x3cfd30
get_ue_golomb_long	0.012003	0.012003	0.0	0.0	libavcodec.so.62	get_ue_golomb_long	golomb.h	0x3d1fce
get_chroma_qp	0.011997	0.011997	0.0	0.0	libavcodec.so.62	get_chroma_qp	h264dec.h	0x3d2a41
skip_bits	0.011988	0.011988	0.0	0.0	libavcodec.so.62	skip_bits	get_bits.h	0x3d19c4
get_vlc2	0.011975	0.011975	0.0	0.0	libavcodec.so.62	get_vlc2	get_bits.h	0x3d197a
get_bits_count	0.011951	0.011951	0.0	0.0	libavcodec.so.62	get_bits_count	get_bits.h	0x40f66b
get_bits_long	0.008021	0.008021	0.0	0.0	libavcodec.so.62	get_bits_long	get_bits.h	0x3d2d37
NEG_USR32	0.008007	0.008007	0.0	0.0	libavcodec.so.62	NEG_USR32	mathops.h	0x3d197a
pred_non_zero_count	0.008002	0.008002	0.0	0.0	libavcodec.so.62	pred_non_zero_count	h264_cavlc.c	0x3d1924
add_mb	0.008002	0.008002	0.0	0.0	libavcodec.so.62	add_mb	mpegutils.c	0x73390b
fill_rectangle	0.007997	0.007997	0.0	0.0	libavcodec.so.62	fill_rectangle	rectangle.h	0x3d2cc5
fill_rectangle	0.007993	0.007993	0.0	0.0	libavcodec.so.62	fill_rectangle	rectangle.h	0x3d2f0b
fill_decode_caches	0.007981	0.007981	0.0	0.0	libavcodec.so.62	fill_decode_caches	h264_mvpred.h	0x3ce960
get_ue_golomb_31	0.007976	0.007976	0.0	0.0	libavcodec.so.62	get_ue_golomb_31	golomb.h	0x3d3588
get_ue_golomb_31	0.007971	0.007971	0.0	0.0	libavcodec.so.62	get_ue_golomb_31	golomb.h	0x3d2544
ff_h264_queue_decode_slice	0.007968	0.007968	0.0	0.0	libavcodec.so.62	ff_h264_queue_decode_slice	h264_slice.c	0x410960
