Function Stack	CPU Time:Total	CPU Time:Effective Time:Total	CPU Time:Spin Time:Total	CPU Time:Overhead Time:Total	CPU Time:Self	CPU Time:Effective Time:Self	CPU Time:Spin Time:Self	CPU Time:Overhead Time:Self	Module	Function (Full)	Source File	Start Address
Total	100.000000	100.000000			0.0	0.0	0.0	0.0	[Unknown]	[Unknown]	[Unknown]	[Unknown]
 _start	100.000000	100.000000			0.0	0.0	0.0	0.0	extractor4	_start	[Unknown]	0x2c50
  __libc_start_main	100.000000	100.000000			0.0	0.0	0.0	0.0	libc.so.6	__libc_start_main	[Unknown]	0x2a200
   main	100.000000	100.000000			0.0	0.0	0.0	0.0	extractor4	main	[Unknown]	0x25f0
    avcodec_send_packet	95.364705	95.364705			0.0	0.0	0.0	0.0	libavcodec.so.62	avcodec_send_packet	decode.c	0x2b5ef0
     decode_receive_frame_internal	95.364705	95.364705			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_receive_frame_internal	decode.c	0x2b5b80
      ff_decode_receive_frame_internal	95.364705	95.364705			0.0	0.0	0.0	0.0	libavcodec.so.62	ff_decode_receive_frame_internal	decode.c	0x2b5650
       decode_simple_receive_frame	95.364705	95.364705			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_simple_receive_frame	decode.c	0x2b5720
        decode_simple_internal	95.364705	95.364705			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_simple_internal	decode.c	0x2b5720
         h264_decode_frame	95.364705	95.364705			0.0	0.0	0.0	0.0	libavcodec.so.62	h264_decode_frame	h264dec.c	0x402f70
          decode_nal_units	92.706770	92.706770			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_nal_units	h264dec.c	0x403067
           ff_h264_execute_decode_slices	92.706770	92.706770			0.0	0.0	0.0	0.0	libavcodec.so.62	ff_h264_execute_decode_slices	h264_slice.c	0x3f9730
            decode_slice	92.706770	92.706770			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_slice	h264_slice.c	0x3f8070
             ff_h264_decode_mb_cavlc	92.706770	92.706770			0.023051	0.023051	0.0	0.0	libavcodec.so.62	ff_h264_decode_mb_cavlc	h264_cavlc.c	0x3bafc0
              decode_luma_residual_skip	36.929496	36.929496			0.038539	0.038539	0.0	0.0	libavcodec.so.62	decode_luma_residual_skip	h264_cavlc.c	0x3ba6b0
               decode_residual_skip	23.635603	23.635603			0.026987	0.026987	0.0	0.0	libavcodec.so.62	decode_residual_skip	h264_cavlc.c	0x3ba960
                get_vlc2	3.986760	3.986760			0.011558	0.011558	0.0	0.0	libavcodec.so.62	get_vlc2	get_bits.h	0x3baca8
                get_vlc2	3.983699	3.983699			0.011549	0.011549	0.0	0.0	libavcodec.so.62	get_vlc2	get_bits.h	0x3bac6e
                pred_non_zero_count	3.701507	3.701507			0.010731	0.010731	0.0	0.0	libavcodec.so.62	pred_non_zero_count	h264_cavlc.c	0x3ba9d4
                get_vlc2	2.654449	2.654449			0.007695	0.007695	0.0	0.0	libavcodec.so.62	get_vlc2	get_bits.h	0x3baa2a
              decode_mb_skip	7.975205	7.975205			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_mb_skip	h264_mvpred.h	0x3bb2a7
               memset	2.659692	2.659692			0.007710	0.007710	0.0	0.0	libavcodec.so.62	memset	string_fortified.h	0x3bb2af
               pred_pskip_motion	2.657932	2.657932			0.007705	0.007705	0.0	0.0	libavcodec.so.62	pred_pskip_motion	h264_mvpred.h	0x3bbb5f
               write_back_motion	2.657581	2.657581			0.007704	0.007704	0.0	0.0	libavcodec.so.62	write_back_motion	h264_mvpred.h	0x3bb340
              pred_motion	7.973260	7.973260			0.023114	0.023114	0.0	0.0	libavcodec.so.62	pred_motion	h264_mvpred.h	0x3bcfff
              decode_residual_skip	6.644593	6.644593			0.019263	0.019263	0.0	0.0	libavcodec.so.62	decode_residual_skip	h264_cavlc.c	0x3ba960
              get_ue_golomb_31	3.990085	3.990085			0.011567	0.011567	0.0	0.0	libavcodec.so.62	get_ue_golomb_31	golomb.h	0x3bc933
              write_back_non_zero_count	3.987099	3.987099			0.011559	0.011559	0.0	0.0	libavcodec.so.62	write_back_non_zero_count	h264_mvpred.h	0x3bc057
              fill_rectangle	3.986186	3.986186			0.011556	0.011556	0.0	0.0	libavcodec.so.62	fill_rectangle	rectangle.h	0x3bbfbb
              fill_decode_caches	3.983776	3.983776			0.011549	0.011549	0.0	0.0	libavcodec.so.62	fill_decode_caches	h264_mvpred.h	0x3b7a10
              fill_rectangle	3.981209	3.981209			0.011541	0.011541	0.0	0.0	libavcodec.so.62	fill_rectangle	rectangle.h	0x3bd133
              get_ue_golomb_31	2.653497	2.653497			0.007692	0.007692	0.0	0.0	libavcodec.so.62	get_ue_golomb_31	golomb.h	0x3bb5f4
              get_se_golomb	2.651095	2.651095			0.007685	0.007685	0.0	0.0	libavcodec.so.62	get_se_golomb	golomb.h	0x3bba6e
          finalize_frame	2.657935	2.657935			0.0	0.0	0.0	0.0	libavcodec.so.62	finalize_frame	h264dec.c	0x4028a0
           ff_print_debug_info2_optimized	2.657935	2.657935			0.007705	0.007705	0.0	0.0	libavcodec.so.62	ff_print_debug_info2_optimized	mpegutils.c	0x71be70
    avformat_find_stream_info	4.635295	4.635295			0.0	0.0	0.0	0.0	libavformat.so.62	avformat_find_stream_info	demux.c	0x964f0
     codec_close	4.635295	4.635295			0.0	0.0	0.0	0.0	libavformat.so.62	codec_close	demux.c	0x8ffe0
      avcodec_alloc_context3	4.635295	4.635295			0.0	0.0	0.0	0.0	libavcodec.so.62	avcodec_alloc_context3	options.c	0x791f30
       init_context_defaults	4.635295	4.635295			0.0	0.0	0.0	0.0	libavcodec.so.62	init_context_defaults	options.c	0x791f63
        av_mallocz	4.635295	4.635295			0.0	0.0	0.0	0.0	libavutil.so.60	av_mallocz	mem.c	0x429c0
         memset	4.635295	4.635295			0.0	0.0	0.0	0.0	libavutil.so.60	memset	string_fortified.h	0x429d5
          func@0x189480	4.635295	4.635295			0.013438	0.013438	0.0	0.0	libc.so.6	func@0x189480	[Unknown]	0x189480
