Function	CPU Time	CPU Time:Effective Time	CPU Time:Spin Time	CPU Time:Overhead Time	Module	Function (Full)	Source File	Start Address
decode_residual	0.172484	0.172484	0.0	0.0	libavcodec.so.62	decode_residual	h264_cavlc.c	0x3cdfd0
..@2921.end	0.123323	0.123323	0.0	0.0	libavcodec.so.62	..@2921.end	x86inc.asm	0xc6ce00
..@3110.end	0.097406	0.097406	0.0	0.0	libavcodec.so.62	..@3110.end	x86inc.asm	0xc842b0
..@3054.end	0.078828	0.078828	0.0	0.0	libavcodec.so.62	..@3054.end	x86inc.asm	0xc72ab0
..@3309.end	0.077933	0.077933	0.0	0.0	libavcodec.so.62	..@3309.end	x86inc.asm	0xc6cfc0
..@3383.end	0.071124	0.071124	0.0	0.0	libavcodec.so.62	..@3383.end	[Unknown]	0xc6b1f0
ff_h264_decode_mb_cavlc	0.061563	0.061563	0.0	0.0	libavcodec.so.62	ff_h264_decode_mb_cavlc	h264_cavlc.c	0x3cf420
hl_decode_mb_simple_8	0.060501	0.060501	0.0	0.0	libavcodec.so.62	hl_decode_mb_simple_8	h264_mb_template.c	0x3f6c20
..@7058.end	0.052982	0.052982	0.0	0.0	libavcodec.so.62	..@7058.end	videodsp.asm	0xd1a1b0
..@8895.end	0.048829	0.048829	0.0	0.0	libavcodec.so.62	..@8895.end	x86inc.asm	0xc6edc0
mc_dir_part	0.047167	0.047167	0.0	0.0	libavcodec.so.62	mc_dir_part	h264_mb.c	0x3e493d
decode_luma_residual	0.044394	0.044394	0.0	0.0	libavcodec.so.62	decode_luma_residual	h264_cavlc.c	0x3cfd3a
..@8673.end	0.035553	0.035553	0.0	0.0	libavcodec.so.62	..@8673.end	x86inc.asm	0xc6ecc0
..@7224.end	0.031116	0.031116	0.0	0.0	libavcodec.so.62	..@7224.end	x86inc.asm	0xc85910
ff_print_debug_info2	0.031069	0.031069	0.0	0.0	libavcodec.so.62	ff_print_debug_info2	mpegutils.c	0x72f450
get_vlc2	0.030681	0.030681	0.0	0.0	libavcodec.so.62	get_vlc2	get_bits.h	0x3ce046
get_vlc2	0.026293	0.026293	0.0	0.0	libavcodec.so.62	get_vlc2	get_bits.h	0x3ce56d
ff_put_h264_qpel8or16_hv2_lowpass_ssse3.loop8	0.026224	0.026224	0.0	0.0	libavcodec.so.62	ff_put_h264_qpel8or16_hv2_lowpass_ssse3.loop8	x86inc.asm	0xc854bc
fill_filter_caches_inter	0.026194	0.026194	0.0	0.0	libavcodec.so.62	fill_filter_caches_inter	h264_slice.c	0x408ea2
NEG_USR32	0.025833	0.025833	0.0	0.0	libavcodec.so.62	NEG_USR32	mathops.h	0x3ce56d
..@1474.end	0.025739	0.025739	0.0	0.0	libavcodec.so.62	..@1474.end	x86inc.asm	0xc83b00
..@10809..skip_loop_iter	0.025731	0.025731	0.0	0.0	libavcodec.so.62	..@10809..skip_loop_iter	x86inc.asm	0xc6f8e8
ff_put_pixels16_sse2.loop	0.022233	0.022233	0.0	0.0	libavcodec.so.62	ff_put_pixels16_sse2.loop	x86inc.asm	0xc69f64
get_ue_golomb	0.022181	0.022181	0.0	0.0	libavcodec.so.62	get_ue_golomb	golomb.h	0x3cfc61
h264_filter_mb_fast_internal	0.021775	0.021775	0.0	0.0	libavcodec.so.62	h264_filter_mb_fast_internal	h264_loopfilter.c	0x3ddff0
..@2290.end	0.021766	0.021766	0.0	0.0	libavcodec.so.62	..@2290.end	x86inc.asm	0xc83ee0
get_ue_golomb_31	0.021546	0.021546	0.0	0.0	libavcodec.so.62	get_ue_golomb_31	golomb.h	0x3d11c6
