Function Stack	CPU Time:Total	CPU Time:Effective Time:Total	CPU Time:Spin Time:Total	CPU Time:Overhead Time:Total	CPU Time:Self	CPU Time:Effective Time:Self	CPU Time:Spin Time:Self	CPU Time:Overhead Time:Self	Module	Function (Full)	Source File	Start Address
Total	100.000000	100.000000			0.0	0.0	0.0	0.0	[Unknown]	[Unknown]	[Unknown]	[Unknown]
 _start	100.000000	100.000000			0.0	0.0	0.0	0.0	extractor4	_start	[Unknown]	0x2c60
  __libc_start_main_impl	100.000000	100.000000			0.0	0.0	0.0	0.0	libc.so.6	__libc_start_main_impl	libc-start.c	0x2a200
   main	100.000000	100.000000			0.0	0.0	0.0	0.0	extractor4	main	[Unknown]	0x25f0
    avcodec_send_packet	98.866531	98.866531			0.0	0.0	0.0	0.0	libavcodec.so.62	avcodec_send_packet	decode.c	0x2b9cc0
     decode_receive_frame_internal	98.866531	98.866531			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_receive_frame_internal	decode.c	0x2b9970
      ff_decode_receive_frame_internal	98.866531	98.866531			0.0	0.0	0.0	0.0	libavcodec.so.62	ff_decode_receive_frame_internal	decode.c	0x2b9440
       decode_simple_receive_frame	98.866531	98.866531			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_simple_receive_frame	decode.c	0x2b9510
        decode_simple_internal	98.866531	98.866531			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_simple_internal	decode.c	0x2b9510
         h264_decode_frame	98.866531	98.866531			0.0	0.0	0.0	0.0	libavcodec.so.62	h264_decode_frame	h264dec.c	0x417760
          decode_nal_units	96.278034	96.278034			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_nal_units	h264dec.c	0x417857
           ff_h264_execute_decode_slices	96.278034	96.278034			0.0	0.0	0.0	0.0	libavcodec.so.62	ff_h264_execute_decode_slices	h264_slice.c	0x40c870
            decode_slice	96.278034	96.278034			0.008849	0.008849	0.0	0.0	libavcodec.so.62	decode_slice	h264_slice.c	0x40b400
             hl_decode_mb_simple_8	40.020769	40.020769			0.060501	0.060501	0.0	0.0	libavcodec.so.62	hl_decode_mb_simple_8	h264_mb_template.c	0x3f6c20
              hl_motion_420_simple_8	29.980510	29.980510			0.017787	0.017787	0.0	0.0	libavcodec.so.62	hl_motion_420_simple_8	h264_mc_template.c	0x3f70c6
               mc_part_420_simple_8	27.123646	27.123646			0.0	0.0	0.0	0.0	libavcodec.so.62	mc_part_420_simple_8	h264_mc_template.c	0x3e4800
                mc_part_std	27.123646	27.123646			0.008883	0.008883	0.0	0.0	libavcodec.so.62	mc_part_std	h264_mb.c	0x3e48c0
                 mc_dir_part	26.648523	26.648523			0.047167	0.047167	0.0	0.0	libavcodec.so.62	mc_dir_part	h264_mb.c	0x3e493d
                  ..@3383.end	3.804371	3.804371			0.071124	0.071124	0.0	0.0	libavcodec.so.62	..@3383.end	[Unknown]	0xc6b1f0
                  put_h264_qpel16_mc21_ssse3	2.299248	2.299248			0.008556	0.008556	0.0	0.0	libavcodec.so.62	put_h264_qpel16_mc21_ssse3	h264_qpel.c	0xc7c820
