Function	CPU Time	CPU Time:Effective Time	CPU Time:Spin Time	CPU Time:Overhead Time	Module	Function (Full)	Source File	Start Address
get_cabac_inline_x86	0.235175	0.235175	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x4ecaa0
ff_hevc_hls_residual_coding	0.209772	0.209772	0.0	0.0	libavcodec.so.62	ff_hevc_hls_residual_coding	cabac.c	0x4efaf0
ff_hevc_export_motion_vectors	0.134422	0.134422	0.0	0.0	libavcodec.so.62	ff_hevc_export_motion_vectors	hevcdec.c	0x5a3490
hls_prediction_unit	0.050933	0.050933	0.0	0.0	libavcodec.so.62	hls_prediction_unit	hevcdec.c	0x596a10
mvfield_match	0.047031	0.047031	0.0	0.0	libavcodec.so.62	mvfield_match	hevcdec.c	0x5a36ae
get_cabac_inline_x86	0.046067	0.046067	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x4ef56d
hls_coding_unit	0.033575	0.033575	0.0	0.0	libavcodec.so.62	hls_coding_unit	hevcdec.c	0x59ad40
intra_prediction_unit_default_value	0.033504	0.033504	0.0	0.0	libavcodec.so.62	intra_prediction_unit_default_value	hevcdec.c	0x596080
significant_coeff_flag_decode	0.033110	0.033110	0.0	0.0	libavcodec.so.62	significant_coeff_flag_decode	cabac.c	0x4f1158
ff_hevc_luma_mv_mvp_mode	0.029557	0.029557	0.0	0.0	libavcodec.so.62	ff_hevc_luma_mv_mvp_mode	mvs.c	0x5a56a0
__memset_evex_unaligned_erms	0.021052	0.021052	0.0	0.0	libc.so.6	__memset_evex_unaligned_erms	memset-vec-unaligned-erms.S	0x1993c0
hls_transform_unit	0.021005	0.021005	0.0	0.0	libavcodec.so.62	hls_transform_unit	hevcdec.c	0x597900
hls_coding_quadtree	0.016804	0.016804	0.0	0.0	libavcodec.so.62	hls_coding_quadtree	hevcdec.c	0x59ca30
ff_hevc_merge_idx_decode	0.012724	0.012724	0.0	0.0	libavcodec.so.62	ff_hevc_merge_idx_decode	cabac.c	0x4eeec0
__memmove_evex_unaligned_erms	0.012629	0.012629	0.0	0.0	libc.so.6	__memmove_evex_unaligned_erms	memmove-vec-unaligned-erms.S	0x198940
get_cabac_bypass_x86	0.012611	0.012611	0.0	0.0	libavcodec.so.62	get_cabac_bypass_x86	cabac.h	0x4eef10
get_cabac_inline_x86	0.012608	0.012608	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x4ef3db
hls_decode_entry	0.012585	0.012585	0.0	0.0	libavcodec.so.62	hls_decode_entry	hevcdec.c	0x5a172a
get_cabac_bypass_x86	0.012546	0.012546	0.0	0.0	libavcodec.so.62	get_cabac_bypass_x86	cabac.h	0x4f0fc2
hls_transform_tree	0.012526	0.012526	0.0	0.0	libavcodec.so.62	hls_transform_tree	hevcdec.c	0x59a5f0
hls_coding_quadtree	0.012432	0.012432	0.0	0.0	libavcodec.so.62	hls_coding_quadtree	hevcdec.c	0x59ce80
get_cabac_inline_x86	0.011594	0.011594	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x4edcaa
check_mvset	0.009401	0.009401	0.0	0.0	libavcodec.so.62	check_mvset	mvs.c	0x5a3ce0
ff_hevc_part_mode_decode	0.008533	0.008533	0.0	0.0	libavcodec.so.62	ff_hevc_part_mode_decode	cabac.c	0x4ee990
mv_mp_mode_mx	0.008428	0.008428	0.0	0.0	libavcodec.so.62	mv_mp_mode_mx	mvs.c	0x5a5dd3
memset	0.008417	0.008417	0.0	0.0	libavcodec.so.62	memset	string_fortified.h	0x5960f0
ff_hevc_cabac_init	0.008415	0.008415	0.0	0.0	libavcodec.so.62	ff_hevc_cabac_init	cabac.c	0x4ed1e0
ff_hevc_luma_mv_merge_mode	0.008409	0.008409	0.0	0.0	libavcodec.so.62	ff_hevc_luma_mv_merge_mode	mvs.c	0x5a4730
is_diff_mer	0.008409	0.008409	0.0	0.0	libavcodec.so.62	is_diff_mer	mvs.c	0x5a4cd0
ff_hevc_hls_mvd_coding	0.008407	0.008407	0.0	0.0	libavcodec.so.62	ff_hevc_hls_mvd_coding	cabac.c	0x4f20a0
_dl_runtime_resolve_xsavec	0.008406	0.008406	0.0	0.0	ld-linux-x86-64.so.2	_dl_runtime_resolve_xsavec	dl-trampoline.h	0x152f0
mv_mp_mode_mx	0.008396	0.008396	0.0	0.0	libavcodec.so.62	mv_mp_mode_mx	mvs.c	0x5a59bb
temporal_luma_motion_vector	0.008390	0.008390	0.0	0.0	libavcodec.so.62	temporal_luma_motion_vector	mvs.c	0x5a4280
z_scan_block_avail	0.008386	0.008386	0.0	0.0	libavcodec.so.62	z_scan_block_avail	mvs.c	0x5a493d
ff_h2645_extract_rbsp	0.008369	0.008369	0.0	0.0	libavcodec.so.62	ff_h2645_extract_rbsp	h2645_parse.c	0x3c0130
mvfield_match	0.008368	0.008368	0.0	0.0	libavcodec.so.62	mvfield_match	hevcdec.c	0x5a364a
ff_hevc_inter_pred_idc_decode	0.006889	0.006889	0.0	0.0	libavcodec.so.62	ff_hevc_inter_pred_idc_decode	cabac.c	0x4ef020
