Function Stack	CPU Time:Total	CPU Time:Effective Time:Total	CPU Time:Spin Time:Total	CPU Time:Overhead Time:Total	CPU Time:Self	CPU Time:Effective Time:Self	CPU Time:Spin Time:Self	CPU Time:Overhead Time:Self	Module	Function (Full)	Source File	Start Address
Total	100.000000	100.000000			0.0	0.0	0.0	0.0	[Unknown]	[Unknown]	[Unknown]	[Unknown]
 _start	100.000000	100.000000			0.0	0.0	0.0	0.0	extractor4	_start	[Unknown]	0x2c60
  __libc_start_main_impl	100.000000	100.000000			0.0	0.0	0.0	0.0	libc.so.6	__libc_start_main_impl	libc-start.c	0x2a200
   main	99.268989	99.268989			0.0	0.0	0.0	0.0	extractor4	main	[Unknown]	0x25f0
    avcodec_send_packet	99.268989	99.268989			0.0	0.0	0.0	0.0	libavcodec.so.62	avcodec_send_packet	decode.c	0x2b9e90
     decode_receive_frame_internal	99.268989	99.268989			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_receive_frame_internal	decode.c	0x2b9b20
      ff_decode_receive_frame_internal	99.268989	99.268989			0.0	0.0	0.0	0.0	libavcodec.so.62	ff_decode_receive_frame_internal	decode.c	0x2b95f0
       hevc_receive_frame	99.268989	99.268989			0.0	0.0	0.0	0.0	libavcodec.so.62	hevc_receive_frame	hevcdec.c	0x5a07f0
        decode_nal_units	99.268989	99.268989			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_nal_units	hevcdec.c	0x5a0a05
         decode_nal_unit	98.541142	98.541142			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_nal_unit	hevcdec.c	0x5a0b2d
          decode_slice	98.541142	98.541142			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_slice	hevcdec.c	0x5a0f30
           decode_slice_data	79.836696	79.836696			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_slice_data	hevcdec.c	0x5a1514
            hls_decode_entry	79.836696	79.836696			0.012585	0.012585	0.0	0.0	libavcodec.so.62	hls_decode_entry	hevcdec.c	0x5a172a
             hls_coding_quadtree	78.010424	78.010424			0.012432	0.012432	0.0	0.0	libavcodec.so.62	hls_coding_quadtree	hevcdec.c	0x59ce80
              hls_coding_quadtree	72.196651	72.196651			0.008407	0.008407	0.0	0.0	libavcodec.so.62	hls_coding_quadtree	hevcdec.c	0x59ca30
               hls_coding_unit	36.472934	36.472934			0.008438	0.008438	0.0	0.0	libavcodec.so.62	hls_coding_unit	hevcdec.c	0x59ad40
                hls_transform_tree	24.453938	24.453938			0.0	0.0	0.0	0.0	libavcodec.so.62	hls_transform_tree	hevcdec.c	0x59b313
                 hls_transform_unit	14.977662	14.977662			0.021005	0.021005	0.0	0.0	libavcodec.so.62	hls_transform_unit	hevcdec.c	0x597900
                  ff_hevc_hls_residual_coding	13.150973	13.150973			0.067232	0.067232	0.0	0.0	libavcodec.so.62	ff_hevc_hls_residual_coding	cabac.c	0x4efaf0
                   significant_coeff_flag_decode	3.651348	3.651348			0.0	0.0	0.0	0.0	libavcodec.so.62	significant_coeff_flag_decode	cabac.c	0x4f1158
                    get_cabac	3.651348	3.651348			0.0	0.0	0.0	0.0	libavcodec.so.62	get_cabac	cabac_functions.h	0x4ecaa0
