Function	CPU Time	CPU Time:Effective Time	CPU Time:Spin Time	CPU Time:Overhead Time	Module	Function (Full)	Source File	Start Address
get_cabac_inline_x86	0.081340	0.081340	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x4d5b50
ff_hevc_export_motion_vectors	0.057733	0.057733	0.0	0.0	libavcodec.so.62	ff_hevc_export_motion_vectors	hevcdec.c	0x58c540
ff_hevc_hls_residual_coding	0.038545	0.038545	0.0	0.0	libavcodec.so.62	ff_hevc_hls_residual_coding	cabac.c	0x4d8ba0
hls_prediction_unit	0.038492	0.038492	0.0	0.0	libavcodec.so.62	hls_prediction_unit	hevcdec.c	0x57fac0
hls_coding_quadtree	0.033027	0.033027	0.0	0.0	libavcodec.so.62	hls_coding_quadtree	hevcdec.c	0x585ae0
func@0x64150	0.030792	0.030792	0.0	0.0	libavcodec.so.62	func@0x64150	[Unknown]	0x64150
mvfield_match	0.023107	0.023107	0.0	0.0	libavcodec.so.62	mvfield_match	hevcdec.c	0x58c75e
func@0x189480	0.023030	0.023030	0.0	0.0	libc.so.6	func@0x189480	[Unknown]	0x189480
derive_spatial_merge_candidates	0.019251	0.019251	0.0	0.0	libavcodec.so.62	derive_spatial_merge_candidates	mvs.c	0x58d853
significant_coeff_flag_decode	0.019244	0.019244	0.0	0.0	libavcodec.so.62	significant_coeff_flag_decode	cabac.c	0x4da208
get_cabac_inline_x86	0.015425	0.015425	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x4d7971
get_cabac_bypass_x86	0.011667	0.011667	0.0	0.0	libavcodec.so.62	get_cabac_bypass_x86	cabac.h	0x4d7fc0
ff_hevc_split_coding_unit_flag_decode	0.011556	0.011556	0.0	0.0	libavcodec.so.62	ff_hevc_split_coding_unit_flag_decode	cabac.c	0x4d78f0
significant_coeff_group_flag_decode	0.011554	0.011554	0.0	0.0	libavcodec.so.62	significant_coeff_group_flag_decode	cabac.c	0x4d9317
ff_hevc_set_neighbour_available	0.011551	0.011551	0.0	0.0	libavcodec.so.62	ff_hevc_set_neighbour_available	mvs.c	0x58d620
ff_hevc_cbf_cb_cr_decode	0.011546	0.011546	0.0	0.0	libavcodec.so.62	ff_hevc_cbf_cb_cr_decode	cabac.c	0x4d8610
get_cabac	0.011542	0.011542	0.0	0.0	libavcodec.so.62	get_cabac	cabac_functions.h	0x4d5b50
hls_transform_tree	0.011501	0.011501	0.0	0.0	libavcodec.so.62	hls_transform_tree	hevcdec.c	0x5836a0
hls_coding_unit	0.011486	0.011486	0.0	0.0	libavcodec.so.62	hls_coding_unit	hevcdec.c	0x583df0
get_cabac_inline_x86	0.011483	0.011483	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x4d6e2b
ff_hevc_merge_idx_decode	0.011472	0.011472	0.0	0.0	libavcodec.so.62	ff_hevc_merge_idx_decode	cabac.c	0x4d7f70
intra_prediction_unit	0.011466	0.011466	0.0	0.0	libavcodec.so.62	intra_prediction_unit	hevcdec.c	0x583fe9
coeff_sign_flag_decode	0.007713	0.007713	0.0	0.0	libavcodec.so.62	coeff_sign_flag_decode	cabac.c	0x4da061
compare_mv_ref_idx	0.007697	0.007697	0.0	0.0	libavcodec.so.62	compare_mv_ref_idx	mvs.c	0x58e15a
ff_hevc_split_transform_flag_decode	0.007692	0.007692	0.0	0.0	libavcodec.so.62	ff_hevc_split_transform_flag_decode	cabac.c	0x4d8540
