Function Stack	CPU Time:Total	CPU Time:Effective Time:Total	CPU Time:Spin Time:Total	CPU Time:Overhead Time:Total	CPU Time:Self	CPU Time:Effective Time:Self	CPU Time:Spin Time:Self	CPU Time:Overhead Time:Self	Module	Function (Full)	Source File	Start Address
Total	100.000000	100.000000			0.0	0.0	0.0	0.0	[Unknown]	[Unknown]	[Unknown]	[Unknown]
 _start	100.000000	100.000000			0.0	0.0	0.0	0.0	extractor4	_start	[Unknown]	0x2c50
  __libc_start_main	100.000000	100.000000			0.0	0.0	0.0	0.0	libc.so.6	__libc_start_main	[Unknown]	0x2a200
   main	100.000000	100.000000			0.0	0.0	0.0	0.0	extractor4	main	[Unknown]	0x25f0
    avcodec_send_packet	100.000000	100.000000			0.0	0.0	0.0	0.0	libavcodec.so.62	avcodec_send_packet	decode.c	0x2b5ef0
     decode_receive_frame_internal	100.000000	100.000000			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_receive_frame_internal	decode.c	0x2b5b80
      ff_decode_receive_frame_internal	100.000000	100.000000			0.0	0.0	0.0	0.0	libavcodec.so.62	ff_decode_receive_frame_internal	decode.c	0x2b5650
       hevc_receive_frame	100.000000	100.000000			0.0	0.0	0.0	0.0	libavcodec.so.62	hevc_receive_frame	hevcdec.c	0x5898a0
        decode_nal_units	100.000000	100.000000			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_nal_units	hevcdec.c	0x589ab5
         decode_nal_unit	100.000000	100.000000			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_nal_unit	hevcdec.c	0x589bdd
          decode_slice	100.000000	100.000000			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_slice	hevcdec.c	0x589fe0
           decode_slice_data	82.570361	82.570361			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_slice_data	hevcdec.c	0x58a5c4
            hls_decode_entry	82.570361	82.570361			0.0	0.0	0.0	0.0	libavcodec.so.62	hls_decode_entry	hevcdec.c	0x58a7da
             hls_coding_quadtree	82.570361	82.570361			0.0	0.0	0.0	0.0	libavcodec.so.62	hls_coding_quadtree	hevcdec.c	0x585f30
              hls_coding_quadtree	76.759174	76.759174			0.023027	0.023027	0.0	0.0	libavcodec.so.62	hls_coding_quadtree	hevcdec.c	0x585ae0
               hls_coding_quadtree	44.110963	44.110963			0.010000	0.010000	0.0	0.0	libavcodec.so.62	hls_coding_quadtree	hevcdec.c	0x585ae0
                hls_coding_unit	22.520480	22.520480			0.0	0.0	0.0	0.0	libavcodec.so.62	hls_coding_unit	hevcdec.c	0x583df0
                 hls_prediction_unit	10.188921	10.188921			0.011540	0.011540	0.0	0.0	libavcodec.so.62	hls_prediction_unit	hevcdec.c	0x57fac0
                  ff_hevc_merge_idx_decode	4.379777	4.379777			0.0	0.0	0.0	0.0	libavcodec.so.62	ff_hevc_merge_idx_decode	cabac.c	0x4d7f70
                   get_cabac_bypass_x86	2.201626	2.201626			0.011667	0.011667	0.0	0.0	libavcodec.so.62	get_cabac_bypass_x86	cabac.h	0x4d7fc0
                   get_cabac	2.178151	2.178151			0.011542	0.011542	0.0	0.0	libavcodec.so.62	get_cabac	cabac_functions.h	0x4d5b50
                  ff_hevc_luma_mv_merge_mode	3.631482	3.631482			0.0	0.0	0.0	0.0	libavcodec.so.62	ff_hevc_luma_mv_merge_mode	mvs.c	0x58d7e0
                   ff_hevc_set_neighbour_available	2.179776	2.179776			0.011551	0.011551	0.0	0.0	libavcodec.so.62	ff_hevc_set_neighbour_available	mvs.c	0x58d620
                   derive_spatial_merge_candidates	1.451705	1.451705			0.007693	0.007693	0.0	0.0	libavcodec.so.62	derive_spatial_merge_candidates	mvs.c	0x58d853
                 hls_transform_tree	10.166735	10.166735			0.0	0.0	0.0	0.0	libavcodec.so.62	hls_transform_tree	hevcdec.c	0x5843c3
                  hls_transform_tree	10.166735	10.166735			0.011501	0.011501	0.0	0.0	libavcodec.so.62	hls_transform_tree	hevcdec.c	0x5836a0
                   hls_transform_unit	7.996399	7.996399			0.0	0.0	0.0	0.0	libavcodec.so.62	hls_transform_unit	hevcdec.c	0x5809b0
                    ff_hevc_hls_residual_coding	7.996399	7.996399			0.007792	0.007792	0.0	0.0	libavcodec.so.62	ff_hevc_hls_residual_coding	cabac.c	0x4d8ba0
                     significant_coeff_flag_decode	2.181118	2.181118			0.011558	0.011558	0.0	0.0	libavcodec.so.62	significant_coeff_flag_decode	cabac.c	0x4da208
                     last_significant_coeff_xy_prefix_decode	2.172829	2.172829			0.0	0.0	0.0	0.0	libavcodec.so.62	last_significant_coeff_xy_prefix_decode	cabac.c	0x4d8d2a
                      get_cabac	2.172829	2.172829			0.0	0.0	0.0	0.0	libavcodec.so.62	get_cabac	cabac_functions.h	0x4d5b50
                       get_cabac_inline_x86	2.172829	2.172829			0.011514	0.011514	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x4d5b50
                     coeff_abs_level_greater1_flag_decode	2.172100	2.172100			0.0	0.0	0.0	0.0	libavcodec.so.62	coeff_abs_level_greater1_flag_decode	cabac.c	0x4d9634
                      get_cabac	2.172100	2.172100			0.0	0.0	0.0	0.0	libavcodec.so.62	get_cabac	cabac_functions.h	0x4d5b50
                       get_cabac_inline_x86	2.172100	2.172100			0.011510	0.011510	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x4d5b50
                 memset	2.164824	2.164824			0.0	0.0	0.0	0.0	libavcodec.so.62	memset	string_fortified.h	0x5849f0
                  func@0x189480	2.164824	2.164824			0.011472	0.011472	0.0	0.0	libc.so.6	func@0x189480	[Unknown]	0x189480
                hls_coding_quadtree	16.068255	16.068255			0.0	0.0	0.0	0.0	libavcodec.so.62	hls_coding_quadtree	hevcdec.c	0x585ae0
                 hls_coding_unit	16.068255	16.068255			0.0	0.0	0.0	0.0	libavcodec.so.62	hls_coding_unit	hevcdec.c	0x583df0
                  hls_transform_tree	12.451905	12.451905			0.0	0.0	0.0	0.0	libavcodec.so.62	hls_transform_tree	hevcdec.c	0x5843c3
                   hls_transform_unit	8.695308	8.695308			0.0	0.0	0.0	0.0	libavcodec.so.62	hls_transform_unit	hevcdec.c	0x5809b0
                    ff_hevc_hls_residual_coding	6.528426	6.528426			0.011519	0.011519	0.0	0.0	libavcodec.so.62	ff_hevc_hls_residual_coding	cabac.c	0x4d8ba0
                     significant_coeff_flag_decode	2.178661	2.178661			0.0	0.0	0.0	0.0	libavcodec.so.62	significant_coeff_flag_decode	cabac.c	0x4da208
                      get_cabac	2.178661	2.178661			0.0	0.0	0.0	0.0	libavcodec.so.62	get_cabac	cabac_functions.h	0x4d5b50
                       get_cabac_inline_x86	2.178661	2.178661			0.011545	0.011545	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x4d5b50
                     coeff_abs_level_greater1_flag_decode	2.176009	2.176009			0.0	0.0	0.0	0.0	libavcodec.so.62	coeff_abs_level_greater1_flag_decode	cabac.c	0x4d9634
                      get_cabac	2.176009	2.176009			0.0	0.0	0.0	0.0	libavcodec.so.62	get_cabac	cabac_functions.h	0x4d5b50
                       get_cabac_inline_x86	2.176009	2.176009			0.011531	0.011531	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x4d5b50
                    ff_hevc_cu_qp_delta_abs	2.166881	2.166881			0.0	0.0	0.0	0.0	libavcodec.so.62	ff_hevc_cu_qp_delta_abs	cabac.c	0x4d6e20
                     get_cabac	2.166881	2.166881			0.0	0.0	0.0	0.0	libavcodec.so.62	get_cabac	cabac_functions.h	0x4d6e2b
                      get_cabac_inline_x86	2.166881	2.166881			0.011483	0.011483	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x4d6e2b
                   hls_transform_tree	3.756597	3.756597			0.0	0.0	0.0	0.0	libavcodec.so.62	hls_transform_tree	hevcdec.c	0x5836a0
                    hls_transform_unit	3.756597	3.756597			0.0	0.0	0.0	0.0	libavcodec.so.62	hls_transform_unit	hevcdec.c	0x5809b0
                     ff_hevc_hls_residual_coding	3.756597	3.756597			0.0	0.0	0.0	0.0	libavcodec.so.62	ff_hevc_hls_residual_coding	cabac.c	0x4d8ba0
                      coeff_abs_level_greater1_flag_decode	2.302342	2.302342			0.0	0.0	0.0	0.0	libavcodec.so.62	coeff_abs_level_greater1_flag_decode	cabac.c	0x4d9634
                       get_cabac	2.302342	2.302342			0.0	0.0	0.0	0.0	libavcodec.so.62	get_cabac	cabac_functions.h	0x4d5b50
