Function	CPU Time	CPU Time:Effective Time	CPU Time:Spin Time	CPU Time:Overhead Time	Module	Function (Full)	Source File	Start Address
ff_hevc_deblocking_boundary_strengths	0.096254	0.096254	0.0	0.0	libavcodec.so.62	ff_hevc_deblocking_boundary_strengths	filter.c	0x577220
func@0xcbc718	0.084825	0.084825	0.0	0.0	libavcodec.so.62	func@0xcbc718	[Unknown]	0xcbc718
ff_hevc_hls_residual_coding	0.079517	0.079517	0.0	0.0	libavcodec.so.62	ff_hevc_hls_residual_coding	cabac.c	0x4d6360
boundary_strength	0.069454	0.069454	0.0	0.0	libavcodec.so.62	boundary_strength	filter.c	0x577380
func@0x189480	0.065575	0.065575	0.0	0.0	libc.so.6	func@0x189480	[Unknown]	0x189480
func@0xc6512e	0.065512	0.065512	0.0	0.0	libavcodec.so.62	func@0xc6512e	[Unknown]	0xc6512e
ff_hevc_export_motion_vectors	0.057791	0.057791	0.0	0.0	libavcodec.so.62	ff_hevc_export_motion_vectors	hevcdec.c	0x589020
get_cabac_inline_x86	0.046236	0.046236	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x4d3310
hls_prediction_unit	0.046209	0.046209	0.0	0.0	libavcodec.so.62	hls_prediction_unit	hevcdec.c	0x57d3e0
deblocking_filter_CTB	0.046105	0.046105	0.0	0.0	libavcodec.so.62	deblocking_filter_CTB	filter.c	0x5780bc
..@11064.end	0.042256	0.042256	0.0	0.0	libavcodec.so.62	..@11064.end	[Unknown]	0xcb2df0
boundary_strength	0.034676	0.034676	0.0	0.0	libavcodec.so.62	boundary_strength	filter.c	0x577740
mvfield_match	0.030802	0.030802	0.0	0.0	libavcodec.so.62	mvfield_match	hevcdec.c	0x58923e
..@16282.end	0.026975	0.026975	0.0	0.0	libavcodec.so.62	..@16282.end	[Unknown]	0xc7c870
..@42368.end	0.023162	0.023162	0.0	0.0	libavcodec.so.62	..@42368.end	x86inc.asm	0xc69100
get_qPy	0.023139	0.023139	0.0	0.0	libavcodec.so.62	get_qPy	filter.c	0x5783c3
..@12342.end	0.023113	0.023113	0.0	0.0	libavcodec.so.62	..@12342.end	[Unknown]	0xcb37d0
set_ct_depth	0.023092	0.023092	0.0	0.0	libavcodec.so.62	set_ct_depth	hevcdec.c	0x581e0b
ff_hevc_set_neighbour_available	0.019286	0.019286	0.0	0.0	libavcodec.so.62	ff_hevc_set_neighbour_available	mvs.c	0x58a100
ff_hevc_put_bi_epel_hv32_8_avx2	0.019273	0.019273	0.0	0.0	libavcodec.so.62	ff_hevc_put_bi_epel_hv32_8_avx2	x86inc.asm	0xcbe650
copy_CTB	0.019272	0.019272	0.0	0.0	libavcodec.so.62	copy_CTB	filter.c	0x575468
ff_hevc_add_residual_4_8_mmxext	0.019272	0.019272	0.0	0.0	libavcodec.so.62	ff_hevc_add_residual_4_8_mmxext	x86inc.asm	0xc748b0
..@17153.end	0.019258	0.019258	0.0	0.0	libavcodec.so.62	..@17153.end	x86inc.asm	0xc60110
significant_coeff_flag_decode	0.015417	0.015417	0.0	0.0	libavcodec.so.62	significant_coeff_flag_decode	cabac.c	0x4d7ab8
hls_transform_tree	0.015412	0.015412	0.0	0.0	libavcodec.so.62	hls_transform_tree	hevcdec.c	0x581bf9
..@13517.end	0.015396	0.015396	0.0	0.0	libavcodec.so.62	..@13517.end	x86inc.asm	0xc7b550
get_cabac_bypass_x86	0.011731	0.011731	0.0	0.0	libavcodec.so.62	get_cabac_bypass_x86	cabac.h	0x4d792a
ff_hevc_idct_transpose_32x32_avx	0.011612	0.011612	0.0	0.0	libavcodec.so.62	ff_hevc_idct_transpose_32x32_avx	x86inc.asm	0xcb25e0
av_frame_side_data_remove	0.011602	0.011602	0.0	0.0	libavutil.so.60	av_frame_side_data_remove	side_data.c	0x5d850
significant_coeff_group_flag_decode	0.011574	0.011574	0.0	0.0	libavcodec.so.62	significant_coeff_group_flag_decode	cabac.c	0x4d67f7
func@0xc5ffe2	0.011571	0.011571	0.0	0.0	libavcodec.so.62	func@0xc5ffe2	[Unknown]	0xc5ffe2
copy_vert	0.011570	0.011570	0.0	0.0	libavcodec.so.62	copy_vert	filter.c	0x574970
temporal_luma_motion_vector	0.011569	0.011569	0.0	0.0	libavcodec.so.62	temporal_luma_motion_vector	mvs.c	0x589e10
..@6160.end	0.011567	0.011567	0.0	0.0	libavcodec.so.62	..@6160.end	x86inc.asm	0xc5d940
copy_CTB	0.011566	0.011566	0.0	0.0	libavcodec.so.62	copy_CTB	filter.c	0x575433
..@11363.end	0.011565	0.011565	0.0	0.0	libavcodec.so.62	..@11363.end	x86inc.asm	0xcba110
..@16065.end	0.011565	0.011565	0.0	0.0	libavcodec.so.62	..@16065.end	x86inc.asm	0xc5fb80
memset	0.011565	0.011565	0.0	0.0	libavcodec.so.62	memset	string_fortified.h	0x3a986f
..@33042.end	0.011563	0.011563	0.0	0.0	libavcodec.so.62	..@33042.end	x86inc.asm	0xc65280
hevc_put_uni_qpel_v8_8_sse4	0.011562	0.011562	0.0	0.0	libavcodec.so.62	hevc_put_uni_qpel_v8_8_sse4	dsp_init.c	0xc90a50
..@32350.end	0.011562	0.011562	0.0	0.0	libavcodec.so.62	..@32350.end	x86inc.asm	0xc64d10
..@18592.end	0.011561	0.011561	0.0	0.0	libavcodec.so.62	..@18592.end	x86inc.asm	0xcbc400
hls_transform_tree	0.011561	0.011561	0.0	0.0	libavcodec.so.62	hls_transform_tree	hevcdec.c	0x580f20
ff_hevc_get_ref_list	0.011559	0.011559	0.0	0.0	libavcodec.so.62	ff_hevc_get_ref_list	refs.c	0x5e0030
ff_hevc_hls_filters	0.011558	0.011558	0.0	0.0	libavcodec.so.62	ff_hevc_hls_filters	filter.c	0x57a680
ff_emu_edge_vvar_sse.body_x_loop	0.011556	0.011556	0.0	0.0	libavcodec.so.62	ff_emu_edge_vvar_sse.body_x_loop	x86inc.asm	0xcefa9d
ff_hevc_idct_transpose_32x32_avx	0.011547	0.011547	0.0	0.0	libavcodec.so.62	ff_hevc_idct_transpose_32x32_avx	[Unknown]	0xcb25e0
..@42144.end	0.011541	0.011541	0.0	0.0	libavcodec.so.62	..@42144.end	x86inc.asm	0xc69030
hls_transform_unit	0.011539	0.011539	0.0	0.0	libavcodec.so.62	hls_transform_unit	hevcdec.c	0x57e2c0
ff_hevc_split_coding_unit_flag_decode	0.011500	0.011500	0.0	0.0	libavcodec.so.62	ff_hevc_split_coding_unit_flag_decode	cabac.c	0x4d50b0
derive_spatial_merge_candidates	0.011494	0.011494	0.0	0.0	libavcodec.so.62	derive_spatial_merge_candidates	mvs.c	0x58a333
get_qPy	0.007837	0.007837	0.0	0.0	libavcodec.so.62	get_qPy	filter.c	0x579262
copy_pixel	0.007742	0.007742	0.0	0.0	libavcodec.so.62	copy_pixel	filter.c	0x57511c
mv_scale	0.007731	0.007731	0.0	0.0	libavcodec.so.62	mv_scale	mvs.c	0x589776
luma_mc_bi	0.007724	0.007724	0.0	0.0	libavcodec.so.62	luma_mc_bi	hevcdec.c	0x57d940
ff_hevc_v_loop_filter_luma_8_avx.store	0.007719	0.007719	0.0	0.0	libavcodec.so.62	ff_hevc_v_loop_filter_luma_8_avx.store	x86inc.asm	0xc7baea
chroma_mc_bi	0.007712	0.007712	0.0	0.0	libavcodec.so.62	chroma_mc_bi	hevcdec.c	0x57cb90
ff_hevc_luma_mv_mvp_mode	0.007711	0.007711	0.0	0.0	libavcodec.so.62	ff_hevc_luma_mv_mvp_mode	mvs.c	0x58b230
..@16688.end	0.007708	0.007708	0.0	0.0	libavcodec.so.62	..@16688.end	x86inc.asm	0xc5fe90
hevc_put_uni_qpel_hv16_8_sse4	0.007706	0.007706	0.0	0.0	libavcodec.so.62	hevc_put_uni_qpel_hv16_8_sse4	dsp_init.c	0xc8fc00
copy_vert	0.007706	0.007706	0.0	0.0	libavcodec.so.62	copy_vert	filter.c	0x57499d
get_cabac_inline_x86	0.007702	0.007702	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x4d5131
