Function Stack	CPU Time:Total	CPU Time:Effective Time:Total	CPU Time:Spin Time:Total	CPU Time:Overhead Time:Total	CPU Time:Self	CPU Time:Effective Time:Self	CPU Time:Spin Time:Self	CPU Time:Overhead Time:Self	Module	Function (Full)	Source File	Start Address
Total	100.000000	100.000000			0.0	0.0	0.0	0.0	[Unknown]	[Unknown]	[Unknown]	[Unknown]
 _start	100.000000	100.000000			0.0	0.0	0.0	0.0	extractor4	_start	[Unknown]	0x2c60
  __libc_start_main_impl	100.000000	100.000000			0.0	0.0	0.0	0.0	libc.so.6	__libc_start_main_impl	libc-start.c	0x2a200
   main	100.000000	100.000000			0.0	0.0	0.0	0.0	extractor4	main	[Unknown]	0x25f0
    avcodec_send_packet	99.564403	99.564403			0.0	0.0	0.0	0.0	libavcodec.so.62	avcodec_send_packet	decode.c	0x2b9cc0
     decode_receive_frame_internal	99.564403	99.564403			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_receive_frame_internal	decode.c	0x2b9970
      ff_decode_receive_frame_internal	99.564403	99.564403			0.0	0.0	0.0	0.0	libavcodec.so.62	ff_decode_receive_frame_internal	decode.c	0x2b9440
       hevc_receive_frame	99.274359	99.274359			0.0	0.0	0.0	0.0	libavcodec.so.62	hevc_receive_frame	hevcdec.c	0x59d7d0
        decode_nal_units	99.274359	99.274359			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_nal_units	hevcdec.c	0x59d9dd
         decode_nal_unit	99.274359	99.274359			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_nal_unit	hevcdec.c	0x59db06
          decode_slice	99.274359	99.274359			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_slice	hevcdec.c	0x59df00
           decode_slice_data	91.720396	91.720396			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_slice_data	hevcdec.c	0x59e49d
            hls_decode_entry	91.720396	91.720396			0.0	0.0	0.0	0.0	libavcodec.so.62	hls_decode_entry	hevcdec.c	0x59e6b2
             hls_coding_quadtree	78.522961	78.522961			0.0	0.0	0.0	0.0	libavcodec.so.62	hls_coding_quadtree	hevcdec.c	0x59a6a0
              hls_coding_quadtree	62.865250	62.865250			0.0	0.0	0.0	0.0	libavcodec.so.62	hls_coding_quadtree	hevcdec.c	0x59a250
               hls_coding_unit	34.029820	34.029820			0.029933	0.029933	0.0	0.0	libavcodec.so.62	hls_coding_unit	hevcdec.c	0x598590
                hls_prediction_unit	17.368706	17.368706			0.051379	0.051379	0.0	0.0	libavcodec.so.62	hls_prediction_unit	hevcdec.c	0x594340
                 luma_mc_bi	8.244035	8.244035			0.008516	0.008516	0.0	0.0	libavcodec.so.62	luma_mc_bi	hevcdec.c	0x5948a0
                  hevc_put_qpel_hv32_8_sse4	3.918288	3.918288			0.0	0.0	0.0	0.0	libavcodec.so.62	hevc_put_qpel_hv32_8_sse4	dsp_init.c	0xcb9630
                   hevc_put_qpel_hv8_8_sse4	3.918288	3.918288			0.0	0.0	0.0	0.0	libavcodec.so.62	hevc_put_qpel_hv8_8_sse4	dsp_init.c	0xcb9636
                    func@0xc8e95e	3.482475	3.482475			0.102680	0.102680	0.0	0.0	libavcodec.so.62	func@0xc8e95e	[Unknown]	0xc8e95e
