Function	CPU Time	CPU Time:Effective Time	CPU Time:Spin Time	CPU Time:Overhead Time	Module	Function (Full)	Source File	Start Address
decode_significance_x86	0.991272	0.991272	0.0	0.0	libavcodec.so.62	decode_significance_x86	h264_cabac.c	0x3c50a0
decode_significance_8x8_x86	0.523108	0.523108	0.0	0.0	libavcodec.so.62	decode_significance_8x8_x86	h264_cabac.c	0x3c5260
get_cabac_inline_x86	0.516554	0.516554	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c3560
___pthread_cond_wait	0.414082	0.414082	0.0	0.0	libc.so.6	___pthread_cond_wait	pthread_cond_wait.c	0x9b5e0
ff_h264_decode_mb_cabac	0.398006	0.398006	0.0	0.0	libavcodec.so.62	ff_h264_decode_mb_cabac	h264_cabac.c	0x3c8330
get_cabac_inline_x86	0.333916	0.333916	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c34c0
___pthread_cond_broadcast	0.294873	0.294873	0.0	0.0	libc.so.6	___pthread_cond_broadcast	pthread_cond_broadcast.c	0x9ab60
fill_decode_caches	0.196156	0.196156	0.0	0.0	libavcodec.so.62	fill_decode_caches	h264_mvpred.h	0x3c3830
decode_cabac_residual_internal_skip	0.132148	0.132148	0.0	0.0	libavcodec.so.62	decode_cabac_residual_internal_skip	h264_cabac.c	0x3c75d4
get_cabac_bypass_sign_x86	0.129983	0.129983	0.0	0.0	libavcodec.so.62	get_cabac_bypass_sign_x86	cabac.h	0x3c76a5
ff_print_debug_info2	0.121961	0.121961	0.0	0.0	libavcodec.so.62	ff_print_debug_info2	mpegutils.c	0x730a70
get_cabac_inline_x86	0.097829	0.097829	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c7720
__memmove_evex_unaligned_erms	0.096032	0.096032	0.0	0.0	libc.so.6	__memmove_evex_unaligned_erms	memmove-vec-unaligned-erms.S	0x198900
add_mb	0.095998	0.095998	0.0	0.0	libavcodec.so.62	add_mb	mpegutils.c	0x731279
pred_spatial_direct_motion	0.093958	0.093958	0.0	0.0	libavcodec.so.62	pred_spatial_direct_motion	h264_direct.c	0x3d660b
get_cabac_inline_x86	0.070945	0.070945	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c7db0
decode_cabac_luma_residual_skip	0.057865	0.057865	0.0	0.0	libavcodec.so.62	decode_cabac_luma_residual_skip	h264_cabac.c	0x3c909b
decode_cabac_mb_skip	0.056189	0.056189	0.0	0.0	libavcodec.so.62	decode_cabac_mb_skip	h264_cabac.c	0x3c5590
decode_cabac_mb_mvd	0.054989	0.054989	0.0	0.0	libavcodec.so.62	decode_cabac_mb_mvd	h264_cabac.c	0x3c7d60
get_cabac_cbf_ctx	0.053810	0.053810	0.0	0.0	libavcodec.so.62	get_cabac_cbf_ctx	h264_cabac.c	0x3cbf98
add_mb	0.050000	0.050000	0.0	0.0	libavcodec.so.62	add_mb	mpegutils.c	0x730c7f
decode_cabac_residual_nondc_internal_skip	0.040173	0.040173	0.0	0.0	libavcodec.so.62	decode_cabac_residual_nondc_internal_skip	h264_cabac.c	0x3c75d0
get_cabac_cbf_ctx	0.035955	0.035955	0.0	0.0	libavcodec.so.62	get_cabac_cbf_ctx	h264_cabac.c	0x3cb5f3
pred_motion	0.033983	0.033983	0.0	0.0	libavcodec.so.62	pred_motion	h264_mvpred.h	0x3cab22
get_cabac_inline_x86	0.031259	0.031259	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c713e
__memset_evex_unaligned_erms	0.030000	0.030000	0.0	0.0	libc.so.6	__memset_evex_unaligned_erms	memset-vec-unaligned-erms.S	0x199380
___pthread_mutex_unlock	0.027957	0.027957	0.0	0.0	libc.so.6	___pthread_mutex_unlock	pthread_mutex_unlock.c	0xa1a70
get_cabac_bypass_sign_x86	0.026053	0.026053	0.0	0.0	libavcodec.so.62	get_cabac_bypass_sign_x86	cabac.h	0x3c78ad
