Function Stack	CPU Time:Total	CPU Time:Effective Time:Total	CPU Time:Spin Time:Total	CPU Time:Overhead Time:Total	CPU Time:Self	CPU Time:Effective Time:Self	CPU Time:Spin Time:Self	CPU Time:Overhead Time:Self	Module	Function (Full)	Source File	Start Address
Total	100.000000	100.000000			0.0	0.0	0.0	0.0	[Unknown]	[Unknown]	[Unknown]	[Unknown]
 __clone3	96.897810	96.897810			0.0	0.0	0.0	0.0	libc.so.6	__clone3	clone3.S	0x129c40
  start_thread	96.897810	96.897810			0.0	0.0	0.0	0.0	libc.so.6	start_thread	pthread_create.c	0x9c720
   frame_worker_thread	96.897810	96.897810			0.0	0.0	0.0	0.0	libavcodec.so.62	frame_worker_thread	pthread_frame.c	0x7f8fb0
    ff_decode_receive_frame_internal	96.714616	96.714616			0.0	0.0	0.0	0.0	libavcodec.so.62	ff_decode_receive_frame_internal	decode.c	0x2b95f0
     decode_simple_receive_frame	96.714616	96.714616			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_simple_receive_frame	decode.c	0x2b96c0
      decode_simple_internal	96.714616	96.714616			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_simple_internal	decode.c	0x2b96c0
       h264_decode_frame	96.532134	96.532134			0.0	0.0	0.0	0.0	libavcodec.so.62	h264_decode_frame	h264dec.c	0x419290
        decode_nal_units	89.342462	89.342462			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_nal_units	h264dec.c	0x419387
         ff_h264_execute_decode_slices	88.930160	88.930160			0.0	0.0	0.0	0.0	libavcodec.so.62	ff_h264_execute_decode_slices	h264_slice.c	0x40e380
          decode_slice	88.930160	88.930160			0.021982	0.021982	0.0	0.0	libavcodec.so.62	decode_slice	h264_slice.c	0x40cec0
           ff_h264_decode_mb_cabac	82.928956	82.928956			0.398006	0.398006	0.0	0.0	libavcodec.so.62	ff_h264_decode_mb_cabac	h264_cabac.c	0x3c8330
            decode_cabac_luma_residual_skip	39.168900	39.168900			0.057865	0.057865	0.0	0.0	libavcodec.so.62	decode_cabac_luma_residual_skip	h264_cabac.c	0x3c909b
             decode_cabac_residual_nondc_skip	25.502163	25.502163			0.026029	0.026029	0.0	0.0	libavcodec.so.62	decode_cabac_residual_nondc_skip	h264_cabac.c	0x3cbf98
              decode_cabac_residual_nondc_internal_skip	22.731681	22.731681			0.028169	0.028169	0.0	0.0	libavcodec.so.62	decode_cabac_residual_nondc_internal_skip	h264_cabac.c	0x3c75d0
               decode_cabac_residual_internal_skip	22.217650	22.217650			0.058198	0.058198	0.0	0.0	libavcodec.so.62	decode_cabac_residual_internal_skip	h264_cabac.c	0x3c75d4
                decode_significance_x86	14.802953	14.802953			0.811202	0.811202	0.0	0.0	libavcodec.so.62	decode_significance_x86	h264_cabac.c	0x3c50a0
                get_cabac	3.323386	3.323386			0.0	0.0	0.0	0.0	libavcodec.so.62	get_cabac	cabac_functions.h	0x3c3560
                 get_cabac_inline_x86	3.323386	3.323386			0.182122	0.182122	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c3560
                get_cabac_bypass_sign_x86	1.714669	1.714669			0.093964	0.093964	0.0	0.0	libavcodec.so.62	get_cabac_bypass_sign_x86	cabac.h	0x3c76a5
                get_cabac	1.021097	1.021097			0.0	0.0	0.0	0.0	libavcodec.so.62	get_cabac	cabac_functions.h	0x3c7720
                 get_cabac_inline_x86	1.021097	1.021097			0.055956	0.055956	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c7720
                get_cabac_bypass_x86	0.147166	0.147166			0.008065	0.008065	0.0	0.0	libavcodec.so.62	get_cabac_bypass_x86	cabac.h	0x3c77ec
                get_cabac_bypass_sign_x86	0.146370	0.146370			0.008021	0.008021	0.0	0.0	libavcodec.so.62	get_cabac_bypass_sign_x86	cabac.h	0x3c78ad
              get_cabac	1.313566	1.313566			0.0	0.0	0.0	0.0	libavcodec.so.62	get_cabac	cabac_functions.h	0x3c3560
               get_cabac_inline_x86	1.313566	1.313566			0.071983	0.071983	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c3560
              get_cabac_cbf_ctx	0.981934	0.981934			0.053810	0.053810	0.0	0.0	libavcodec.so.62	get_cabac_cbf_ctx	h264_cabac.c	0x3cbf98
             decode_cabac_residual_nondc_skip	12.245139	12.245139			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_cabac_residual_nondc_skip	h264_cabac.c	0x3caf3e
              decode_cabac_residual_nondc_internal_skip	12.245139	12.245139			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_cabac_residual_nondc_internal_skip	h264_cabac.c	0x3c75d0
               decode_cabac_residual_internal_skip	12.245139	12.245139			0.050088	0.050088	0.0	0.0	libavcodec.so.62	decode_cabac_residual_internal_skip	h264_cabac.c	0x3c75d4
                decode_significance_8x8_x86	9.545765	9.545765			0.523108	0.523108	0.0	0.0	libavcodec.so.62	decode_significance_8x8_x86	h264_cabac.c	0x3c5260
                get_cabac	0.765751	0.765751			0.0	0.0	0.0	0.0	libavcodec.so.62	get_cabac	cabac_functions.h	0x3c3560
                 get_cabac_inline_x86	0.765751	0.765751			0.041963	0.041963	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c3560
                get_cabac	0.544558	0.544558			0.0	0.0	0.0	0.0	libavcodec.so.62	get_cabac	cabac_functions.h	0x3c7720
                 get_cabac_inline_x86	0.544558	0.544558			0.029842	0.029842	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c7720
                get_cabac_bypass_sign_x86	0.329049	0.329049			0.018032	0.018032	0.0	0.0	libavcodec.so.62	get_cabac_bypass_sign_x86	cabac.h	0x3c78ad
                get_cabac_bypass_sign_x86	0.146002	0.146002			0.008001	0.008001	0.0	0.0	libavcodec.so.62	get_cabac_bypass_sign_x86	cabac.h	0x3c76a5
             decode_cabac_residual_nondc_skip	0.365670	0.365670			0.0	0.0	0.0	0.0	libavcodec.so.62	decode_cabac_residual_nondc_skip	h264_cabac.c	0x3c9120
